date,car,bus,station_code,station_name,city
2020-08-27,1965,60,013,순천만,순천
2020-08-27,72950,2603,101,서울,서울
2020-08-27,28911,1256,127,서대구,대구
2020-08-27,27843,876,129,북대구,대구
2020-08-27,1921,81,133,건천,경주
2020-08-27,8830,410,135,경주,경주
2020-08-27,26691,916,140,부산,부산
2020-08-27,9175,305,146,동창원,창원
2020-08-27,24676,458,150,북부산,부산
2020-08-27,4716,189,158,전주,전주
2020-08-27,4668,217,159,서전주,전주
2020-08-27,12867,617,167,광주,광주
2020-08-27,10601,283,174,춘천,춘천
2020-08-27,4882,157,179,홍천,홍천
2020-08-27,2586,134,181,새말,횡성
2020-08-27,1772,54,182,둔내,횡성
2020-08-27,743,15,183,면온,평창
2020-08-27,3243,87,184,대관령,평창
2020-08-27,596,18,186,속사,평창
2020-08-27,1630,57,187,진부,평창
2020-08-27,8456,259,189,강릉,강릉
2020-08-27,44228,2686,190,동서울,서울
2020-08-27,2226,75,216,횡성,횡성
2020-08-27,2478,68,227,군산,군산
2020-08-27,2565,105,228,동군산,군산
2020-08-27,20011,585,244,서부산,부산
2020-08-27,67367,2509,253,서서울,서울
2020-08-27,14868,425,261,동광주,광주
2020-08-27,1444,49,267,주암송광사,순천
2020-08-27,1706,67,270,서순천,순천
2020-08-27,6636,214,271,순천,순천
2020-08-27,3146,98,272,광양,광양
2020-08-27,1740,49,273,동광양,광양
2020-08-27,2202,76,275,옥곡,광양
2020-08-27,951,23,276,진월,광양
2020-08-27,4320,164,294,북창원,창원
2020-08-27,10695,321,509,목포,목포
2020-08-27,2709,52,510,양양,양양
2020-08-27,2404,75,515,북통영,통영
2020-08-27,5982,189,516,통영,통영
2020-08-27,1662,77,517,양평,양평
2020-08-27,24553,813,519,남대구,대구
2020-08-27,17079,378,553,동광산,광주
2020-08-27,3835,58,554,동홍천,홍천
2020-08-27,3617,68,556,동순천,순천
2020-08-27,1158,35,557,황전,순천
2020-08-27,5975,329,569,북광주,광주
2020-08-27,4183,84,580,북강릉,강릉
2020-08-27,1231,28,581,옥계,속초
2020-08-27,1856,51,582,망상,속초
2020-08-27,2349,103,584,남강릉,강릉
2020-08-27,2246,31,585,하조대,양양
2020-08-27,2215,57,590,동전주,전주
2020-08-27,2649,84,701,북양양,양양
2020-08-27,3928,116,702,속초,속초
2020-08-27,1193,24,735,남양평,양평
2020-08-27,432,13,765,내촌,홍천
2020-08-27,89,2,768,서양양,양양
2020-08-27,7065,109,987,남순천,순천
2020-08-28,2231,94,013,순천만,순천
2020-08-28,88246,2823,101,서울,서울
2020-08-28,33013,1388,127,서대구,대구
2020-08-28,33008,985,129,북대구,대구
2020-08-28,2627,121,133,건천,경주
2020-08-28,12242,399,135,경주,경주
2020-08-28,31851,977,140,부산,부산
2020-08-28,11106,403,146,동창원,창원
2020-08-28,28512,477,150,북부산,부산
2020-08-28,6578,233,158,전주,전주
2020-08-28,6398,228,159,서전주,전주
2020-08-28,17244,736,167,광주,광주
2020-08-28,14437,383,174,춘천,춘천
2020-08-28,6192,185,179,홍천,홍천
2020-08-28,3628,164,181,새말,횡성
2020-08-28,2234,71,182,둔내,횡성
2020-08-28,1016,19,183,면온,평창
2020-08-28,4211,108,184,대관령,평창
2020-08-28,802,34,186,속사,평창
2020-08-28,2143,69,187,진부,평창
2020-08-28,10550,322,189,강릉,강릉
2020-08-28,62297,2945,190,동서울,서울
2020-08-28,3093,115,216,횡성,횡성
2020-08-28,3791,82,227,군산,군산
2020-08-28,3992,147,228,동군산,군산
2020-08-28,24739,661,244,서부산,부산
2020-08-28,84681,2827,253,서서울,서울
2020-08-28,19087,515,261,동광주,광주
2020-08-28,2012,64,267,주암송광사,순천
2020-08-28,2273,79,270,서순천,순천
2020-08-28,8555,269,271,순천,순천
2020-08-28,4709,106,272,광양,광양
2020-08-28,2638,54,273,동광양,광양
2020-08-28,3207,90,275,옥곡,광양
2020-08-28,1004,27,276,진월,광양
2020-08-28,5005,152,294,북창원,창원
2020-08-28,14417,414,509,목포,목포
2020-08-28,3536,57,510,양양,양양
2020-08-28,3179,76,515,북통영,통영
2020-08-28,8375,211,516,통영,통영
2020-08-28,2824,101,517,양평,양평
2020-08-28,28120,894,519,남대구,대구
2020-08-28,20648,436,553,동광산,광주
2020-08-28,5734,91,554,동홍천,홍천
2020-08-28,5316,103,556,동순천,순천
2020-08-28,1289,26,557,황전,순천
2020-08-28,7823,385,569,북광주,광주
2020-08-28,5286,132,580,북강릉,강릉
2020-08-28,1548,47,581,옥계,속초
2020-08-28,2419,64,582,망상,속초
2020-08-28,2774,136,584,남강릉,강릉
2020-08-28,2942,51,585,하조대,양양
2020-08-28,2998,53,590,동전주,전주
2020-08-28,3561,100,701,북양양,양양
2020-08-28,5143,125,702,속초,속초
2020-08-28,1592,29,735,남양평,양평
2020-08-28,556,15,765,내촌,홍천
2020-08-28,167,1,768,서양양,양양
2020-08-28,9737,129,987,남순천,순천
2020-08-29,2077,45,013,순천만,순천
2020-08-29,76571,1644,101,서울,서울
2020-08-29,33921,794,127,서대구,대구
2020-08-29,31648,540,129,북대구,대구
2020-08-29,3099,63,133,건천,경주
2020-08-29,14543,200,135,경주,경주
2020-08-29,31447,658,140,부산,부산
2020-08-29,9216,195,146,동창원,창원
2020-08-29,26605,308,150,북부산,부산
2020-08-29,5995,136,158,전주,전주
2020-08-29,5810,141,159,서전주,전주
2020-08-29,16624,422,167,광주,광주
2020-08-29,14436,243,174,춘천,춘천
2020-08-29,5885,122,179,홍천,홍천
2020-08-29,3970,99,181,새말,횡성
2020-08-29,2533,33,182,둔내,횡성
2020-08-29,1239,17,183,면온,평창
2020-08-29,5073,96,184,대관령,평창
2020-08-29,1027,21,186,속사,평창
2020-08-29,2331,51,187,진부,평창
2020-08-29,11457,212,189,강릉,강릉
2020-08-29,57288,1487,190,동서울,서울
2020-08-29,2960,82,216,횡성,횡성
2020-08-29,4430,40,227,군산,군산
2020-08-29,4265,75,228,동군산,군산
2020-08-29,24278,313,244,서부산,부산
2020-08-29,75478,1406,253,서서울,서울
2020-08-29,20085,351,261,동광주,광주
2020-08-29,1851,34,267,주암송광사,순천
2020-08-29,1906,58,270,서순천,순천
2020-08-29,7702,175,271,순천,순천
2020-08-29,4167,70,272,광양,광양
2020-08-29,2127,29,273,동광양,광양
2020-08-29,2960,55,275,옥곡,광양
2020-08-29,724,10,276,진월,광양
2020-08-29,4864,91,294,북창원,창원
2020-08-29,13852,268,509,목포,목포
2020-08-29,4783,45,510,양양,양양
2020-08-29,3662,69,515,북통영,통영
2020-08-29,9860,147,516,통영,통영
2020-08-29,2249,47,517,양평,양평
2020-08-29,27732,484,519,남대구,대구
2020-08-29,20922,332,553,동광산,광주
2020-08-29,7256,64,554,동홍천,홍천
2020-08-29,5569,63,556,동순천,순천
2020-08-29,1324,24,557,황전,순천
2020-08-29,7036,229,569,북광주,광주
2020-08-29,6234,92,580,북강릉,강릉
2020-08-29,1859,26,581,옥계,속초
2020-08-29,2583,48,582,망상,속초
2020-08-29,2630,83,584,남강릉,강릉
2020-08-29,3868,35,585,하조대,양양
2020-08-29,3210,40,590,동전주,전주
2020-08-29,4581,59,701,북양양,양양
2020-08-29,6899,100,702,속초,속초
2020-08-29,1468,19,735,남양평,양평
2020-08-29,683,11,765,내촌,홍천
2020-08-29,225,0,768,서양양,양양
2020-08-29,9237,76,987,남순천,순천
2020-08-30,1840,26,013,순천만,순천
2020-08-30,75643,956,101,서울,서울
2020-08-30,29416,320,127,서대구,대구
2020-08-30,25357,241,129,북대구,대구
2020-08-30,3761,27,133,건천,경주
2020-08-30,17845,103,135,경주,경주
2020-08-30,27411,271,140,부산,부산
2020-08-30,7226,83,146,동창원,창원
2020-08-30,20629,146,150,북부산,부산
2020-08-30,6273,52,158,전주,전주
2020-08-30,5755,64,159,서전주,전주
2020-08-30,16995,189,167,광주,광주
2020-08-30,13305,127,174,춘천,춘천
2020-08-30,7649,55,179,홍천,홍천
2020-08-30,5240,64,181,새말,횡성
2020-08-30,4021,32,182,둔내,횡성
2020-08-30,2560,18,183,면온,평창
2020-08-30,5075,53,184,대관령,평창
2020-08-30,1242,15,186,속사,평창
2020-08-30,2379,28,187,진부,평창
2020-08-30,12225,139,189,강릉,강릉
2020-08-30,45762,824,190,동서울,서울
2020-08-30,3663,33,216,횡성,횡성
2020-08-30,5480,25,227,군산,군산
2020-08-30,4503,37,228,동군산,군산
2020-08-30,21315,159,244,서부산,부산
2020-08-30,67091,741,253,서서울,서울
2020-08-30,18703,133,261,동광주,광주
2020-08-30,2094,25,267,주암송광사,순천
2020-08-30,1664,19,270,서순천,순천
2020-08-30,7567,75,271,순천,순천
2020-08-30,4535,37,272,광양,광양
2020-08-30,1913,13,273,동광양,광양
2020-08-30,2870,28,275,옥곡,광양
2020-08-30,666,8,276,진월,광양
2020-08-30,4327,35,294,북창원,창원
2020-08-30,14599,112,509,목포,목포
2020-08-30,6237,22,510,양양,양양
2020-08-30,4614,36,515,북통영,통영
