station_code,station_name,city
13,순천만,순천
101,서울,서울
127,서대구,대구
129,북대구,대구
133,건천,경주
135,경주,경주
140,부산,부산
146,동창원,창원
150,북부산,부산
158,전주,전주
159,서전주,전주
167,광주,광주
174,춘천,춘천
179,홍천,홍천
181,새말,횡성
182,둔내,횡성
183,면온,평창
186,속사,평창
187,진부,평창
189,강릉,강릉
190,동서울,서울
216,횡성,횡성
227,군산,군산
228,동군산,군산
244,서부산,부산
253,서서울,서울
261,동광주,광주
270,서순천,순천
271,순천,순천
272,광양,광양
273,동광양,광양
275,옥곡,광양
276,진월,광양
294,북창원,창원
509,목포,목포
510,양양,양양
515,북통영,통영
516,통영,통영
517,양평,양평
519,남대구,대구
553,동광산,광주
554,동홍천,홍천
556,동순천,순천
557,황전,순천
569,북광주,광주
580,북강릉,강릉
581,옥계,속초
582,망상,속초
584,남강릉,강릉
585,하조대,양양
590,동전주,전주
987,남순천,순천
184,대관령,평창
701,북양양,양양
702,속초,속초
735,남양평,양평
765,내촌,홍천
768,서양양,양양
267,주암송광사,순천
