date,station_code,station_name,car,bus,city
2015-07-01,13,순천만,1532,65,순천
2015-07-01,101,서울,86432,3519,서울
2015-07-01,127,서대구,33348,1947,대구
2015-07-01,129,북대구,27370,993,대구
2015-07-01,133,건천,2125,136,경주
2015-07-01,135,경주,13081,990,경주
2015-07-01,140,부산,26490,1290,부산
2015-07-01,146,동창원,9432,550,창원
2015-07-01,150,북부산,29795,697,부산
2015-07-01,158,전주,5732,334,전주
2015-07-01,159,서전주,4310,260,전주
2015-07-01,167,광주,13560,679,광주
2015-07-01,174,춘천,10129,439,춘천
2015-07-01,179,홍천,4594,184,홍천
2015-07-01,181,새말,2636,165,횡성
2015-07-01,182,둔내,1342,75,횡성
2015-07-01,183,면온,744,34,평창
2015-07-01,186,속사,473,22,평창
2015-07-01,187,진부,1748,71,평창
2015-07-01,189,강릉,6377,260,강릉
2015-07-01,190,동서울,50380,3618,서울
2015-07-01,216,횡성,2461,149,횡성
2015-07-01,227,군산,3423,208,군산
2015-07-01,228,동군산,3075,176,군산
2015-07-01,244,서부산,23630,946,부산
2015-07-01,253,서서울,83670,4399,서울
2015-07-01,261,동광주,14510,581,광주
2015-07-01,270,서순천,2345,92,순천
2015-07-01,271,순천,7807,341,순천
2015-07-01,272,광양,3865,194,광양
2015-07-01,273,동광양,2136,69,광양
2015-07-01,275,옥곡,2435,107,광양
2015-07-01,276,진월,1175,50,광양
2015-07-01,294,북창원,4515,188,창원
2015-07-01,509,목포,10684,440,목포
2015-07-01,510,양양,871,34,양양
2015-07-01,515,북통영,2137,69,통영
2015-07-01,516,통영,7077,331,통영
2015-07-01,517,양평,2595,144,양평
2015-07-01,519,남대구,22184,1081,대구
2015-07-01,553,동광산,13159,352,광주
2015-07-01,554,동홍천,4741,111,홍천
2015-07-01,556,동순천,2757,115,순천
2015-07-01,557,황전,926,34,순천
2015-07-01,569,북광주,4898,510,광주
2015-07-01,580,북강릉,2257,101,강릉
2015-07-01,581,옥계,785,49,속초
2015-07-01,582,망상,1615,67,속초
2015-07-01,584,남강릉,1688,168,강릉
2015-07-01,585,하조대,1929,88,양양
2015-07-01,590,동전주,2333,58,전주
2015-07-01,987,남순천,5908,235,순천
2015-07-02,13,순천만,1643,81,순천
2015-07-02,101,서울,87426,3572,서울
2015-07-02,127,서대구,33800,2005,대구
2015-07-02,129,북대구,28099,1043,대구
2015-07-02,133,건천,2184,172,경주
2015-07-02,135,경주,13919,901,경주
2015-07-02,140,부산,27139,1280,부산
2015-07-02,146,동창원,9583,598,창원
2015-07-02,150,북부산,30303,750,부산
2015-07-02,158,전주,6131,351,전주
2015-07-02,159,서전주,4503,265,전주
2015-07-02,167,광주,14432,750,광주
2015-07-02,174,춘천,10675,385,춘천
2015-07-02,179,홍천,4591,181,홍천
2015-07-02,181,새말,2825,156,횡성
2015-07-02,182,둔내,1380,67,횡성
2015-07-02,183,면온,772,23,평창
2015-07-02,186,속사,558,31,평창
2015-07-02,187,진부,1857,85,평창
2015-07-02,189,강릉,6882,273,강릉
2015-07-02,190,동서울,51689,3645,서울
2015-07-02,216,횡성,2650,135,횡성
2015-07-02,227,군산,3682,213,군산
2015-07-02,228,동군산,3236,197,군산
2015-07-02,244,서부산,23988,1026,부산
2015-07-02,253,서서울,86639,4460,서울
2015-07-02,261,동광주,15546,617,광주
2015-07-02,270,서순천,2482,100,순천
2015-07-02,271,순천,8289,333,순천
2015-07-02,272,광양,3928,168,광양
2015-07-02,273,동광양,2238,56,광양
2015-07-02,275,옥곡,2595,117,광양
2015-07-02,276,진월,1181,47,광양
2015-07-02,294,북창원,4561,203,창원
2015-07-02,509,목포,11256,493,목포
2015-07-02,510,양양,971,51,양양
2015-07-02,515,북통영,2233,59,통영
2015-07-02,516,통영,7375,355,통영
2015-07-02,517,양평,2793,128,양평
2015-07-02,519,남대구,22136,1109,대구
2015-07-02,553,동광산,13818,364,광주
2015-07-02,554,동홍천,5030,99,홍천
2015-07-02,556,동순천,2921,129,순천
2015-07-02,557,황전,938,35,순천
2015-07-02,569,북광주,5144,412,광주
2015-07-02,580,북강릉,2550,101,강릉
2015-07-02,581,옥계,856,50,속초
2015-07-02,582,망상,1655,69,속초
2015-07-02,584,남강릉,1790,159,강릉
2015-07-02,585,하조대,2028,95,양양
2015-07-02,590,동전주,2463,59,전주
2015-07-02,987,남순천,6256,257,순천
2015-07-03,13,순천만,1824,86,순천
2015-07-03,101,서울,96654,3628,서울
2015-07-03,127,서대구,36812,2004,대구
2015-07-03,129,북대구,30806,1053,대구
2015-07-03,133,건천,2858,163,경주
2015-07-03,135,경주,17914,911,경주
2015-07-03,140,부산,29856,1315,부산
2015-07-03,146,동창원,10610,557,창원
2015-07-03,150,북부산,32192,756,부산
2015-07-03,158,전주,7526,328,전주
2015-07-03,159,서전주,5491,278,전주
2015-07-03,167,광주,16604,745,광주
2015-07-03,174,춘천,12483,391,춘천
2015-07-03,179,홍천,5413,187,홍천
2015-07-03,181,새말,3570,147,횡성
2015-07-03,182,둔내,1660,65,횡성
2015-07-03,183,면온,999,22,평창
2015-07-03,186,속사,687,25,평창
2015-07-03,187,진부,2249,84,평창
2015-07-03,189,강릉,8385,266,강릉
2015-07-03,190,동서울,63065,3692,서울
2015-07-03,216,횡성,3447,144,횡성
2015-07-03,227,군산,5108,207,군산
2015-07-03,228,동군산,4063,193,군산
2015-07-03,244,서부산,26730,1008,부산
2015-07-03,253,서서울,96626,4357,서울
2015-07-03,261,동광주,17046,641,광주
2015-07-03,270,서순천,2813,128,순천
2015-07-03,271,순천,9952,333,순천
2015-07-03,272,광양,4998,189,광양
2015-07-03,273,동광양,2791,65,광양
2015-07-03,275,옥곡,3231,104,광양
2015-07-03,276,진월,1508,51,광양
2015-07-03,294,북창원,5092,221,창원
2015-07-03,509,목포,13570,533,목포
2015-07-03,510,양양,1267,42,양양
2015-07-03,515,북통영,2659,76,통영
2015-07-03,516,통영,10159,348,통영
2015-07-03,517,양평,3278,146,양평
2015-07-03,519,남대구,23782,1220,대구
2015-07-03,553,동광산,14711,385,광주
2015-07-03,554,동홍천,6509,122,홍천
2015-07-03,556,동순천,3935,120,순천
2015-07-03,557,황전,1077,45,순천
2015-07-03,569,북광주,5917,476,광주
2015-07-03,580,북강릉,2944,116,강릉
2015-07-03,581,옥계,952,53,속초
2015-07-03,582,망상,1991,70,속초
2015-07-03,584,남강릉,1975,190,강릉
2015-07-03,585,하조대,2532,87,양양
2015-07-03,590,동전주,2872,62,전주
2015-07-03,987,남순천,7596,252,순천
2015-07-04,13,순천만,2175,63,순천
2015-07-04,101,서울,102846,2184,서울
2015-07-04,127,서대구,41506,1227,대구
2015-07-04,129,북대구,31965,658,대구
2015-07-04,133,건천,3112,103,경주
2015-07-04,135,경주,25662,476,경주
2015-07-04,140,부산,33944,873,부산
2015-07-04,146,동창원,10560,316,창원
2015-07-04,150,북부산,35218,459,부산
2015-07-04,158,전주,8705,205,전주
2015-07-04,159,서전주,5735,189,전주
2015-07-04,167,광주,20215,486,광주
2015-07-04,174,춘천,15436,257,춘천
2015-07-04,179,홍천,6171,124,홍천
2015-07-04,181,새말,5148,103,횡성
2015-07-04,182,둔내,2172,48,횡성
2015-07-04,183,면온,1606,23,평창
2015-07-04,186,속사,754,17,평창
2015-07-04,187,진부,2966,61,평창
2015-07-04,189,강릉,10369,195,강릉
2015-07-04,190,동서울,69608,1971,서울
2015-07-04,216,횡성,3684,80,횡성
2015-07-04,227,군산,6936,109,군산
2015-07-04,228,동군산,6011,126,군산
2015-07-04,244,서부산,31111,487,부산
2015-07-04,253,서서울,99132,2349,서울
2015-07-04,261,동광주,22712,401,광주
2015-07-04,270,서순천,2880,59,순천
2015-07-04,271,순천,11763,214,순천
2015-07-04,272,광양,5844,123,광양
2015-07-04,273,동광양,2777,36,광양
2015-07-04,275,옥곡,3686,54,광양
2015-07-04,276,진월,1183,27,광양
2015-07-04,294,북창원,5340,122,창원
2015-07-04,509,목포,15487,415,목포
2015-07-04,510,양양,1557,28,양양
2015-07-04,515,북통영,3391,52,통영
2015-07-04,516,통영,13565,246,통영
2015-07-04,517,양평,4210,79,양평
2015-07-04,519,남대구,26157,693,대구
2015-07-04,553,동광산,17982,271,광주
2015-07-04,554,동홍천,10700,87,홍천
2015-07-04,556,동순천,5108,70,순천
2015-07-04,557,황전,1439,21,순천
2015-07-04,569,북광주,6803,306,광주
2015-07-04,580,북강릉,4503,79,강릉
2015-07-04,581,옥계,1174,28,속초
2015-07-04,582,망상,2427,57,속초
2015-07-04,584,남강릉,2098,112,강릉
2015-07-04,585,하조대,3687,82,양양
2015-07-04,590,동전주,4382,39,전주
2015-07-04,987,남순천,10072,200,순천
2015-07-05,13,순천만,2133,20,순천
2015-07-05,101,서울,86275,1148,서울
2015-07-05,127,서대구,36023,397,대구
2015-07-05,129,북대구,27332,242,대구
2015-07-05,133,건천,3765,39,경주
2015-07-05,135,경주,27811,223,경주
2015-07-05,140,부산,30145,398,부산
2015-07-05,146,동창원,8848,127,창원
2015-07-05,150,북부산,31115,222,부산
2015-07-05,158,전주,8460,87,전주
2015-07-05,159,서전주,5357,86,전주
2015-07-05,167,광주,19845,187,광주
2015-07-05,174,춘천,13890,130,춘천
2015-07-05,179,홍천,6480,56,홍천
2015-07-05,181,새말,5648,75,횡성
2015-07-05,182,둔내,4821,38,횡성
2015-07-05,183,면온,5904,26,평창
2015-07-05,186,속사,1283,30,평창
2015-07-05,187,진부,3281,41,평창
2015-07-05,189,강릉,11749,100,강릉
2015-07-05,190,동서울,51090,987,서울
2015-07-05,216,횡성,4293,44,횡성
2015-07-05,227,군산,6964,44,군산
2015-07-05,228,동군산,5527,45,군산
2015-07-05,244,서부산,30043,232,부산
