,time,departure,arival,remain_seat,total_seat,company,grade
0,14 : 40,용인,서울경부,1,45,(주)동부고속,고속
1,16 : 00,용인,서울경부,33,45,(주)동부고속,고속
2,17 : 10,용인,서울경부,43,45,(주)동부고속,고속
3,17 : 40,용인,서울경부,45,45,(주)동부고속,고속
4,18 : 20,용인,서울경부,44,45,(주)동부고속,고속
5,19 : 00,용인,서울경부,43,45,(주)동부고속,고속
6,19 : 40,용인,서울경부,45,45,(주)동부고속,고속
7,20 : 10,용인,서울경부,45,45,(주)동부고속,고속
8,20 : 40,용인,서울경부,43,45,(주)동부고속,고속
9,21 : 10,용인,서울경부,44,45,(주)동부고속,고속
10,22 : 00,용인,서울경부,43,45,(주)동부고속,심야고속
11,14 : 25,평택,서울경부,1,45,금호고속(주),고속
12,14 : 45,평택,서울경부,25,45,(주)동양고속,고속
13,15 : 25,평택,서울경부,31,45,(주)동양고속,고속
14,15 : 40,평택,서울경부,33,45,금호고속(주),고속
15,15 : 55,평택,서울경부,26,45,(주)동양고속,고속
16,16 : 45,평택,서울경부,32,45,(주)동양고속,고속
17,17 : 05,평택,서울경부,37,45,(주)동양고속,고속
18,17 : 20,평택,서울경부,43,45,금호고속(주),고속
19,17 : 30,평택,서울경부,43,45,금호고속(주),고속
20,18 : 00,평택,서울경부,40,45,(주)동양고속,고속
21,18 : 50,평택,서울경부,44,45,금호고속(주),고속
22,19 : 10,평택,서울경부,43,45,(주)동양고속,고속
23,19 : 25,평택,서울경부,45,45,(주)동양고속,고속
24,20 : 00,평택,서울경부,44,45,(주)동양고속,고속
25,20 : 20,평택,서울경부,44,45,(주)동양고속,고속
26,20 : 35,평택,서울경부,44,45,금호고속(주),고속
27,20 : 55,평택,서울경부,45,45,(주)동양고속,고속
28,21 : 10,평택,서울경부,40,45,(주)동양고속,고속
29,21 : 30,평택,서울경부,45,45,금호고속(주),고속
30,21 : 50,평택,서울경부,44,45,금호고속(주),고속
31,22 : 40,평택,서울경부,44,45,금호고속(주),심야고속
32,14 : 30,부산,서울경부,8,28,금호고속(주),우등
33,15 : 00,부산,서울경부,11,21,(주)한일고속,프리미엄
34,15 : 30,부산,서울경부,16,28,(주)동양고속,우등
35,16 : 00,부산,서울경부,16,21,금호고속(주),프리미엄
36,16 : 20,부산,서울경부,27,28,(주)중앙고속,우등
37,16 : 40,부산,서울경부,16,21,(주)천일고속,프리미엄
38,17 : 20,부산,서울경부,37,45,(주)천일고속,고속
39,17 : 40,부산,서울경부,13,21,(주)한일고속,프리미엄
40,18 : 00,부산,서울경부,20,28,금호고속(주),우등
41,18 : 20,부산,서울경부,37,45,금호고속(주),고속
42,19 : 00,부산,서울경부,20,21,금호고속(주),프리미엄
43,19 : 30,부산,서울경부,25,28,(주)중앙고속,우등
44,21 : 00,부산,서울경부,28,28,(주)한일고속,우등
45,21 : 30,부산,서울경부,16,21,(주)삼화고속,프리미엄
46,22 : 00,부산,서울경부,27,28,(주)동양고속,심야우등
47,22 : 30,부산,서울경부,28,28,(주)중앙고속,심야우등
48,23 : 00,부산,서울경부,20,21,(주)천일고속,심야프리미엄
49,23 : 30,부산,서울경부,28,28,(주)동양고속,심야우등
50,24 : 00,부산,서울경부,18,21,(주)한일고속,심야프리미엄
51,16 : 30,서부산(사상),서울경부,13,28,(주)한일고속,고속
52,18 : 10,서부산(사상),서울경부,15,21,(주)한일고속,프리미엄
53,19 : 10,서부산(사상),서울경부,26,28,(주)삼화고속,우등
54,14 : 20,동대구,서울경부,15,28,금호고속(주),우등
55,14 : 40,동대구,서울경부,21,28,(주)동양고속,우등
56,15 : 20,동대구,서울경부,23,28,(주)한일고속,우등
57,15 : 40,동대구,서울경부,28,28,(주)동양고속,우등
58,16 : 00,동대구,서울경부,14,21,(주)중앙고속,프리미엄
59,16 : 20,동대구,서울경부,25,28,금호고속(주),우등
60,16 : 40,동대구,서울경부,26,28,(주)동양고속,우등
61,17 : 00,동대구,서울경부,18,21,(주)삼화고속,프리미엄
62,17 : 20,동대구,서울경부,41,45,(주)한일고속,고속
63,18 : 00,동대구,서울경부,20,28,(주)동양고속,우등
64,18 : 40,동대구,서울경부,21,21,(주)한일고속,프리미엄
65,19 : 20,동대구,서울경부,20,21,금호고속(주),프리미엄
66,22 : 00,동대구,서울경부,25,28,(주)동양고속,심야우등
67,22 : 30,동대구,서울경부,21,21,(주)중앙고속,심야프리미엄
68,14 : 20,서대구,서울경부,15,28,금호고속(주),우등
69,14 : 40,서대구,서울경부,21,28,(주)동양고속,우등
70,15 : 20,서대구,서울경부,23,28,(주)한일고속,우등
71,15 : 40,서대구,서울경부,28,28,(주)동양고속,우등
72,16 : 00,서대구,서울경부,14,21,(주)중앙고속,프리미엄
73,16 : 20,서대구,서울경부,25,28,금호고속(주),우등
74,16 : 40,서대구,서울경부,26,28,(주)동양고속,우등
75,17 : 00,서대구,서울경부,18,21,(주)삼화고속,프리미엄
76,17 : 20,서대구,서울경부,41,45,(주)한일고속,고속
77,18 : 00,서대구,서울경부,20,28,(주)동양고속,우등
78,18 : 40,서대구,서울경부,21,21,(주)한일고속,프리미엄
79,19 : 20,서대구,서울경부,20,21,금호고속(주),프리미엄
80,22 : 00,서대구,서울경부,25,28,(주)동양고속,심야우등
81,22 : 30,서대구,서울경부,21,21,(주)중앙고속,심야프리미엄
82,14 : 30,대전복합,서울경부,16,28,(주)한일고속,우등
83,14 : 40,대전복합,서울경부,33,45,(주)동양고속,고속
84,14 : 55,대전복합,서울경부,25,28,(주)동양고속,우등
85,15 : 10,대전복합,서울경부,26,28,금호고속(주),우등
86,15 : 20,대전복합,서울경부,10,21,(주)동양고속,프리미엄
87,15 : 25,대전복합,서울경부,27,28,(주)천일고속,우등
88,15 : 30,대전복합,서울경부,41,45,금호고속(주),고속
89,15 : 50,대전복합,서울경부,25,28,(주)동양고속,우등
90,15 : 55,대전복합,서울경부,37,45,(주)동양고속,고속
91,16 : 00,대전복합,서울경부,24,28,(주)동양고속,우등
92,16 : 20,대전복합,서울경부,13,21,(주)중앙고속,프리미엄
93,16 : 50,대전복합,서울경부,27,28,(주)동양고속,우등
94,17 : 00,대전복합,서울경부,41,45,(주)동양고속,고속
95,17 : 25,대전복합,서울경부,45,45,금호고속(주),고속
96,17 : 40,대전복합,서울경부,26,28,(주)동양고속,우등
97,17 : 55,대전복합,서울경부,20,21,(주)천일고속,프리미엄
98,18 : 15,대전복합,서울경부,25,28,(주)중앙고속,우등
99,18 : 40,대전복합,서울경부,21,21,(주)동양고속,프리미엄
100,18 : 50,대전복합,서울경부,28,28,금호고속(주),우등
101,19 : 00,대전복합,서울경부,41,45,(주)동양고속,고속
102,19 : 10,대전복합,서울경부,26,28,(주)동양고속,우등
103,19 : 20,대전복합,서울경부,19,21,(주)한일고속,프리미엄
104,19 : 25,대전복합,서울경부,26,45,(주)천일고속,고속
105,19 : 30,대전복합,서울경부,28,28,(주)한일고속,우등
106,20 : 00,대전복합,서울경부,43,45,(주)동양고속,고속
107,20 : 05,대전복합,서울경부,25,28,(주)한일고속,우등
108,20 : 10,대전복합,서울경부,28,28,(주)동양고속,우등
109,20 : 20,대전복합,서울경부,44,45,금호고속(주),고속
110,20 : 40,대전복합,서울경부,27,28,금호고속(주),우등
111,20 : 50,대전복합,서울경부,26,28,(주)동양고속,우등
112,21 : 00,대전복합,서울경부,44,45,(주)동양고속,고속
113,21 : 10,대전복합,서울경부,19,21,금호고속(주),프리미엄
114,21 : 20,대전복합,서울경부,27,28,(주)중앙고속,우등
115,21 : 40,대전복합,서울경부,28,28,(주)동양고속,우등
116,21 : 55,대전복합,서울경부,25,28,(주)한일고속,우등
117,22 : 10,대전복합,서울경부,44,45,(주)동양고속,심야고속
118,22 : 20,대전복합,서울경부,28,28,(주)동양고속,심야우등
119,22 : 30,대전복합,서울경부,19,21,(주)동양고속,심야프리미엄
120,23 : 00,대전복합,서울경부,28,28,(주)동양고속,심야우등
121,24 : 00,대전복합,서울경부,28,28,금호고속(주),심야우등
122,14 : 20,천안,서울경부,12,45,(주)동양고속,고속
123,14 : 30,천안,서울경부,5,28,(주)동양고속,우등
124,14 : 40,천안,서울경부,30,45,(주)동양고속,고속
125,14 : 50,천안,서울경부,30,45,(주)동양고속,고속
126,15 : 00,천안,서울경부,4,28,(주)동양고속,우등
127,15 : 10,천안,서울경부,41,45,(주)동양고속,고속
128,15 : 20,천안,서울경부,37,45,(주)동양고속,고속
129,15 : 30,천안,서울경부,10,28,(주)동양고속,우등
130,15 : 40,천안,서울경부,32,45,(주)동양고속,고속
131,15 : 50,천안,서울경부,36,45,(주)동양고속,고속
132,16 : 10,천안,서울경부,32,45,(주)동양고속,고속
133,16 : 20,천안,서울경부,43,45,(주)동양고속,고속
134,16 : 30,천안,서울경부,42,45,(주)동양고속,고속
135,16 : 40,천안,서울경부,17,28,(주)동양고속,우등
136,16 : 50,천안,서울경부,40,45,(주)동양고속,고속
137,17 : 10,천안,서울경부,42,45,(주)동양고속,고속
138,17 : 20,천안,서울경부,42,45,(주)동양고속,고속
139,17 : 30,천안,서울경부,21,28,(주)동양고속,우등
140,17 : 40,천안,서울경부,44,45,(주)동양고속,고속
141,18 : 00,천안,서울경부,42,45,(주)동양고속,고속
142,18 : 10,천안,서울경부,45,45,(주)동양고속,고속
143,18 : 20,천안,서울경부,45,45,(주)동양고속,고속
144,18 : 30,천안,서울경부,25,28,(주)동양고속,우등
145,18 : 40,천안,서울경부,43,45,(주)동양고속,고속
146,19 : 00,천안,서울경부,18,28,(주)동양고속,우등
147,19 : 10,천안,서울경부,42,45,(주)동양고속,고속
148,19 : 20,천안,서울경부,45,45,(주)동양고속,고속
149,19 : 30,천안,서울경부,22,28,(주)동양고속,우등
150,19 : 40,천안,서울경부,44,45,(주)동양고속,고속
151,19 : 50,천안,서울경부,45,45,(주)동양고속,고속
152,20 : 00,천안,서울경부,44,45,(주)동양고속,고속
153,20 : 10,천안,서울경부,45,45,(주)동양고속,고속
154,20 : 20,천안,서울경부,41,45,(주)동양고속,고속
155,20 : 40,천안,서울경부,44,45,(주)동양고속,고속
156,20 : 50,천안,서울경부,43,45,(주)동양고속,고속
157,21 : 00,천안,서울경부,21,28,(주)동양고속,우등
158,21 : 10,천안,서울경부,43,45,(주)동양고속,고속
159,21 : 20,천안,서울경부,44,45,(주)동양고속,고속
160,21 : 30,천안,서울경부,27,28,(주)동양고속,우등
161,21 : 50,천안,서울경부,43,45,(주)동양고속,고속
162,22 : 20,천안,서울경부,27,28,(주)동양고속,심야우등
163,22 : 40,천안,서울경부,43,45,(주)동양고속,심야고속
164,14 : 20,원주,서울경부,0,21,(주)동부고속,프리미엄
165,14 : 50,원주,서울경부,2,28,(주)중앙고속,우등
166,14 : 55,원주,서울경부,32,45,(주)동부고속,고속
167,15 : 05,원주,서울경부,20,28,(주)동부고속,우등
