,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 10,서울경부,경주,20,28,(주)한일고속,우등
1,07 : 10,서울경부,경주,25,45,금호고속(주),고속
2,08 : 10,서울경부,경주,0,21,금호고속(주),프리미엄
3,09 : 00,서울경부,경주,0,28,금호고속(주),우등
4,10 : 10,서울경부,경주,1,45,(주)한일고속,고속
5,10 : 50,서울경부,경주,24,28,(주)한일고속,우등
6,11 : 00,서울경부,경주,3,28,(주)천일고속,우등
7,12 : 05,서울경부,경주,6,28,(주)한일고속,우등
8,14 : 05,서울경부,경주,8,21,(주)천일고속,프리미엄
9,16 : 05,서울경부,경주,31,45,(주)천일고속,고속
10,17 : 10,서울경부,경주,18,21,(주)한일고속,프리미엄
11,18 : 10,서울경부,경주,23,28,(주)천일고속,우등
12,20 : 05,서울경부,경주,27,28,금호고속(주),우등
13,22 : 00,서울경부,경주,17,21,금호고속(주),심야프리미엄
14,23 : 30,서울경부,경주,20,28,(주)한일고속,심야우등
15,08 : 30,부산,경주,13,28,금호고속(주),우등
16,10 : 00,부산,경주,1,28,금호고속(주),우등
17,11 : 30,부산,경주,1,28,금호고속(주),우등
18,13 : 00,부산,경주,0,28,금호고속(주),우등
19,14 : 30,부산,경주,18,28,금호고속(주),우등
20,16 : 00,부산,경주,26,28,금호고속(주),우등
21,17 : 30,부산,경주,27,28,금호고속(주),우등
22,19 : 00,부산,경주,26,28,금호고속(주),우등
23,20 : 30,부산,경주,28,28,금호고속(주),우등
24,22 : 30,부산,경주,28,28,금호고속(주),심야우등
25,07 : 00,동대구,경주,22,28,금호고속(주),우등
26,07 : 40,동대구,경주,24,28,금호고속(주),우등
27,08 : 20,동대구,경주,24,28,금호고속(주),우등
28,09 : 00,동대구,경주,9,28,금호고속(주),우등
29,09 : 40,동대구,경주,19,28,금호고속(주),우등
30,10 : 20,동대구,경주,4,28,금호고속(주),우등
31,11 : 00,동대구,경주,1,28,금호고속(주),우등
32,11 : 40,동대구,경주,18,28,금호고속(주),우등
33,12 : 20,동대구,경주,18,28,금호고속(주),우등
34,13 : 00,동대구,경주,0,28,금호고속(주),우등
35,13 : 40,동대구,경주,22,28,금호고속(주),우등
36,14 : 20,동대구,경주,22,28,금호고속(주),우등
37,15 : 00,동대구,경주,21,28,금호고속(주),우등
38,15 : 40,동대구,경주,27,28,금호고속(주),우등
39,16 : 20,동대구,경주,28,28,금호고속(주),우등
40,17 : 00,동대구,경주,28,28,금호고속(주),우등
41,17 : 40,동대구,경주,28,28,금호고속(주),우등
42,18 : 20,동대구,경주,28,28,금호고속(주),우등
43,19 : 00,동대구,경주,27,28,금호고속(주),우등
44,20 : 00,동대구,경주,27,28,금호고속(주),우등
45,21 : 00,동대구,경주,27,28,금호고속(주),우등
