,time,departure,arrival,remain_seat,total_seat,company,grade
0,08 : 30,동서울,광양,14,28,(주)중앙고속,우등
1,10 : 00,동서울,광양,34,45,(주)동양고속,고속
2,13 : 00,동서울,광양,12,28,(주)동양고속,우등
3,16 : 30,동서울,광양,4,45,금호고속(주),고속
4,22 : 10,동서울,광양,24,28,(주)한일고속,심야우등
5,08 : 40,센트럴시티(서울),광양,12,28,금호고속(주),우등
6,12 : 00,센트럴시티(서울),광양,3,28,금호고속(주),우등
7,14 : 05,센트럴시티(서울),광양,0,28,금호고속(주),우등
8,16 : 30,센트럴시티(서울),광양,8,28,금호고속(주),우등
9,18 : 40,센트럴시티(서울),광양,7,28,금호고속(주),우등
10,20 : 20,센트럴시티(서울),광양,15,28,금호고속(주),우등
11,22 : 20,센트럴시티(서울),광양,24,28,금호고속(주),심야우등
