,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 00,센트럴시티(서울),군산,15,21,(주)천일고속,프리미엄
1,06 : 20,센트럴시티(서울),군산,40,45,(주)중앙고속,고속
2,06 : 40,센트럴시티(서울),군산,24,28,(주)천일고속,우등
3,07 : 00,센트럴시티(서울),군산,8,21,(주)중앙고속,프리미엄
4,07 : 20,센트럴시티(서울),군산,28,28,(주)중앙고속,우등
5,07 : 40,센트럴시티(서울),군산,19,21,금호고속(주),프리미엄
6,08 : 00,센트럴시티(서울),군산,19,28,금호고속(주),우등
7,08 : 15,센트럴시티(서울),군산,35,45,금호고속(주),고속
8,08 : 30,센트럴시티(서울),군산,20,28,(주)천일고속,우등
9,08 : 45,센트럴시티(서울),군산,13,21,(주)천일고속,프리미엄
10,09 : 00,센트럴시티(서울),군산,17,28,(주)중앙고속,우등
11,09 : 20,센트럴시티(서울),군산,18,28,금호고속(주),우등
12,09 : 40,센트럴시티(서울),군산,36,45,(주)천일고속,고속
13,10 : 00,센트럴시티(서울),군산,10,21,(주)중앙고속,프리미엄
14,10 : 20,센트럴시티(서울),군산,6,28,(주)천일고속,우등
15,10 : 40,센트럴시티(서울),군산,18,21,금호고속(주),프리미엄
16,11 : 00,센트럴시티(서울),군산,17,28,(주)중앙고속,우등
17,11 : 20,센트럴시티(서울),군산,39,45,(주)중앙고속,고속
18,11 : 40,센트럴시티(서울),군산,17,21,(주)천일고속,프리미엄
19,12 : 00,센트럴시티(서울),군산,21,28,금호고속(주),우등
20,12 : 20,센트럴시티(서울),군산,24,28,(주)천일고속,우등
21,12 : 40,센트럴시티(서울),군산,41,45,금호고속(주),고속
22,13 : 00,센트럴시티(서울),군산,28,28,금호고속(주),우등
23,13 : 20,센트럴시티(서울),군산,16,21,(주)중앙고속,프리미엄
24,13 : 40,센트럴시티(서울),군산,22,28,(주)천일고속,우등
25,14 : 00,센트럴시티(서울),군산,39,45,(주)천일고속,고속
26,14 : 20,센트럴시티(서울),군산,15,21,금호고속(주),프리미엄
27,14 : 40,센트럴시티(서울),군산,22,28,(주)중앙고속,우등
28,15 : 00,센트럴시티(서울),군산,17,28,금호고속(주),우등
29,15 : 20,센트럴시티(서울),군산,11,21,(주)천일고속,프리미엄
30,15 : 40,센트럴시티(서울),군산,32,45,(주)중앙고속,고속
31,16 : 00,센트럴시티(서울),군산,13,28,(주)천일고속,우등
32,16 : 20,센트럴시티(서울),군산,18,21,(주)중앙고속,프리미엄
33,16 : 40,센트럴시티(서울),군산,23,28,(주)중앙고속,우등
34,17 : 00,센트럴시티(서울),군산,13,21,금호고속(주),프리미엄
35,17 : 20,센트럴시티(서울),군산,25,28,금호고속(주),우등
36,17 : 40,센트럴시티(서울),군산,38,45,금호고속(주),고속
37,18 : 00,센트럴시티(서울),군산,25,28,(주)천일고속,우등
38,18 : 15,센트럴시티(서울),군산,14,21,(주)천일고속,프리미엄
39,18 : 30,센트럴시티(서울),군산,22,28,(주)중앙고속,우등
40,18 : 45,센트럴시티(서울),군산,22,28,금호고속(주),우등
41,19 : 00,센트럴시티(서울),군산,37,45,(주)천일고속,고속
42,19 : 20,센트럴시티(서울),군산,14,21,(주)중앙고속,프리미엄
43,19 : 40,센트럴시티(서울),군산,17,28,(주)천일고속,우등
44,20 : 00,센트럴시티(서울),군산,12,21,금호고속(주),프리미엄
45,20 : 30,센트럴시티(서울),군산,22,28,(주)중앙고속,우등
46,21 : 00,센트럴시티(서울),군산,27,45,(주)중앙고속,고속
47,22 : 00,센트럴시티(서울),군산,16,21,(주)천일고속,심야프리미엄
48,22 : 50,센트럴시티(서울),군산,24,28,금호고속(주),심야우등
49,23 : 50,센트럴시티(서울),군산,22,28,(주)천일고속,심야우등
50,06 : 40,용인,군산,22,28,경남여객,우등
51,14 : 45,용인,군산,26,28,경남여객,우등
