,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 35,부산,동서울,33,45,금호고속(주),고속
1,08 : 05,부산,동서울,10,28,(주)한일고속,우등
2,09 : 25,부산,동서울,31,45,금호고속(주),고속
3,11 : 50,부산,동서울,9,28,(주)천일고속,우등
4,13 : 25,부산,동서울,9,45,(주)한일고속,고속
5,14 : 45,부산,동서울,0,28,금호고속(주),우등
6,16 : 05,부산,동서울,11,45,(주)중앙고속,고속
7,18 : 45,부산,동서울,1,28,금호고속(주),우등
8,23 : 50,부산,동서울,28,28,금호고속(주),심야우등
9,07 : 25,서부산(사상),동서울,16,28,금호고속(주),우등
10,18 : 00,서부산(사상),동서울,19,45,(주)한일고속,고속
11,06 : 40,동대구,동서울,16,28,(주)동양고속,우등
12,08 : 40,동대구,동서울,8,28,(주)동양고속,우등
13,11 : 20,동대구,동서울,14,28,금호고속(주),우등
14,12 : 00,동대구,동서울,18,28,(주)동양고속,우등
15,13 : 30,동대구,동서울,8,28,(주)동양고속,우등
16,14 : 00,동대구,동서울,31,45,(주)한일고속,고속
17,14 : 30,동대구,동서울,12,28,(주)천일고속,우등
18,15 : 30,동대구,동서울,28,45,(주)동양고속,고속
19,16 : 40,동대구,동서울,12,28,금호고속(주),우등
20,17 : 20,동대구,동서울,29,45,(주)천일고속,고속
21,18 : 40,동대구,동서울,13,28,(주)동양고속,우등
22,22 : 00,동대구,동서울,24,28,(주)동양고속,심야우등
23,06 : 40,서대구,동서울,16,28,(주)동양고속,우등
24,08 : 40,서대구,동서울,8,28,(주)동양고속,우등
25,11 : 20,서대구,동서울,14,28,금호고속(주),우등
26,12 : 00,서대구,동서울,18,28,(주)동양고속,우등
27,13 : 30,서대구,동서울,8,28,(주)동양고속,우등
28,14 : 00,서대구,동서울,31,45,(주)한일고속,고속
29,14 : 30,서대구,동서울,12,28,(주)천일고속,우등
30,15 : 30,서대구,동서울,28,45,(주)동양고속,고속
31,16 : 40,서대구,동서울,12,28,금호고속(주),우등
32,17 : 20,서대구,동서울,29,45,(주)천일고속,고속
33,18 : 40,서대구,동서울,13,28,(주)동양고속,우등
34,22 : 00,서대구,동서울,24,28,(주)동양고속,심야우등
35,06 : 00,광주(유·스퀘어),동서울,15,28,금호고속(주),우등
36,07 : 20,광주(유·스퀘어),동서울,9,28,금호고속(주),우등
37,08 : 00,광주(유·스퀘어),동서울,29,45,(주)중앙고속,고속
38,09 : 00,광주(유·스퀘어),동서울,5,21,금호고속(주),프리미엄
39,10 : 00,광주(유·스퀘어),동서울,34,45,금호고속(주),고속
40,11 : 30,광주(유·스퀘어),동서울,11,28,금호고속(주),우등
41,12 : 50,광주(유·스퀘어),동서울,2,28,금호고속(주),우등
42,14 : 30,광주(유·스퀘어),동서울,13,28,금호고속(주),우등
43,15 : 00,광주(유·스퀘어),동서울,6,28,금호고속(주),우등
44,16 : 20,광주(유·스퀘어),동서울,9,21,금호고속(주),프리미엄
45,17 : 40,광주(유·스퀘어),동서울,33,45,금호고속(주),고속
46,18 : 30,광주(유·스퀘어),동서울,15,28,금호고속(주),우등
47,19 : 50,광주(유·스퀘어),동서울,40,45,(주)중앙고속,고속
48,21 : 10,광주(유·스퀘어),동서울,27,28,금호고속(주),우등
49,05 : 50,대전복합,동서울,10,28,(주)천일고속,우등
50,06 : 50,대전복합,동서울,19,28,(주)동양고속,우등
51,07 : 50,대전복합,동서울,20,28,금호고속(주),우등
52,08 : 20,대전복합,동서울,9,28,(주)동양고속,우등
53,09 : 40,대전복합,동서울,15,28,(주)동양고속,우등
54,10 : 30,대전복합,동서울,19,28,(주)한일고속,우등
55,11 : 00,대전복합,동서울,26,45,금호고속(주),고속
56,11 : 50,대전복합,동서울,26,28,(주)중앙고속,우등
57,12 : 20,대전복합,동서울,42,45,(주)동양고속,고속
58,12 : 40,대전복합,동서울,23,28,(주)동양고속,우등
59,13 : 10,대전복합,동서울,22,28,(주)천일고속,우등
60,15 : 00,대전복합,동서울,20,28,금호고속(주),우등
61,15 : 20,대전복합,동서울,26,28,(주)동양고속,우등
62,16 : 40,대전복합,동서울,19,28,(주)동양고속,우등
63,17 : 40,대전복합,동서울,24,28,(주)한일고속,우등
64,18 : 00,대전복합,동서울,41,45,금호고속(주),고속
65,19 : 00,대전복합,동서울,23,28,(주)중앙고속,우등
66,19 : 20,대전복합,동서울,40,45,(주)동양고속,고속
67,19 : 50,대전복합,동서울,25,28,(주)동양고속,우등
68,21 : 00,대전복합,동서울,27,28,(주)동양고속,우등
69,06 : 00,전주,동서울,21,28,금호고속(주),우등
70,06 : 30,전주,동서울,16,28,(주)중앙고속,우등
71,07 : 30,전주,동서울,14,28,(주)천일고속,우등
72,08 : 30,전주,동서울,6,28,(주)동양고속,우등
73,11 : 30,전주,동서울,2,28,금호고속(주),우등
74,13 : 00,전주,동서울,1,28,(주)동양고속,우등
75,15 : 00,전주,동서울,7,28,금호고속(주),우등
76,15 : 30,전주,동서울,9,28,(주)중앙고속,우등
77,16 : 00,전주,동서울,12,28,(주)동양고속,우등
78,16 : 30,전주,동서울,13,28,(주)천일고속,우등
79,18 : 00,전주,동서울,20,28,금호고속(주),우등
80,19 : 00,전주,동서울,14,28,(주)동양고속,우등
81,19 : 30,전주,동서울,39,45,금호고속(주),고속
82,20 : 30,전주,동서울,15,28,금호고속(주),우등
