,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 05,서울경부,마산내서,27,28,(주)동양고속,우등
1,06 : 45,서울경부,마산내서,18,21,(주)동양고속,프리미엄
2,07 : 20,서울경부,마산내서,25,28,(주)동양고속,우등
3,08 : 00,서울경부,마산내서,18,21,(주)동양고속,프리미엄
4,09 : 10,서울경부,마산내서,18,21,(주)동양고속,프리미엄
5,09 : 45,서울경부,마산내서,39,45,(주)동양고속,고속
6,10 : 30,서울경부,마산내서,13,21,(주)중앙고속,프리미엄
7,11 : 10,서울경부,마산내서,23,28,(주)동양고속,우등
8,11 : 50,서울경부,마산내서,15,21,(주)동양고속,프리미엄
9,12 : 30,서울경부,마산내서,17,28,(주)동양고속,우등
10,13 : 10,서울경부,마산내서,17,21,(주)동양고속,프리미엄
11,13 : 45,서울경부,마산내서,23,28,(주)동양고속,우등
12,14 : 25,서울경부,마산내서,9,21,(주)동양고속,프리미엄
13,15 : 00,서울경부,마산내서,24,28,(주)동양고속,우등
14,15 : 35,서울경부,마산내서,9,21,(주)동양고속,프리미엄
15,16 : 10,서울경부,마산내서,26,28,(주)동양고속,우등
16,16 : 45,서울경부,마산내서,6,21,(주)동양고속,프리미엄
17,17 : 55,서울경부,마산내서,5,21,(주)중앙고속,프리미엄
18,18 : 30,서울경부,마산내서,34,45,(주)동양고속,고속
19,19 : 30,서울경부,마산내서,23,28,(주)동양고속,우등
20,21 : 00,서울경부,마산내서,20,21,(주)동양고속,프리미엄
21,21 : 30,서울경부,마산내서,28,28,(주)동양고속,우등
22,22 : 30,서울경부,마산내서,28,28,(주)동양고속,심야우등
23,23 : 30,서울경부,마산내서,18,21,(주)동양고속,심야프리미엄
24,07 : 10,동서울,마산내서,23,28,(주)동양고속,우등
25,14 : 10,동서울,마산내서,1,21,(주)동양고속,프리미엄
26,15 : 50,동서울,마산내서,27,28,(주)동양고속,우등
27,08 : 10,동대구,마산내서,24,28,(주)동양고속,우등
28,09 : 15,동대구,마산내서,23,28,(주)천일고속,우등
29,10 : 15,동대구,마산내서,43,45,(주)동양고속,고속
30,14 : 15,동대구,마산내서,22,28,(주)동양고속,우등
31,15 : 40,동대구,마산내서,25,28,(주)천일고속,우등
32,18 : 00,동대구,마산내서,39,45,(주)동양고속,고속
33,20 : 10,동대구,마산내서,22,28,(주)동양고속,우등
34,08 : 10,서대구,마산내서,24,28,(주)동양고속,우등
35,09 : 15,서대구,마산내서,23,28,(주)천일고속,우등
36,10 : 15,서대구,마산내서,43,45,(주)동양고속,고속
37,14 : 15,서대구,마산내서,22,28,(주)동양고속,우등
38,15 : 40,서대구,마산내서,25,28,(주)천일고속,우등
39,18 : 00,서대구,마산내서,39,45,(주)동양고속,고속
40,20 : 10,서대구,마산내서,22,28,(주)동양고속,우등
41,08 : 05,광주(유·스퀘어),마산내서,33,40,금호고속(주),고속
42,10 : 20,광주(유·스퀘어),마산내서,33,40,금호고속(주),고속
43,14 : 25,광주(유·스퀘어),마산내서,29,40,금호고속(주),고속
44,20 : 05,광주(유·스퀘어),마산내서,32,40,금호고속(주),고속
