,time,departure,arrival,remain_seat,total_seat,company,grade
0,04 : 00,광주(유·스퀘어),센트럴시티(서울),17,28,금호고속(주),우등
1,04 : 10,광주(유·스퀘어),센트럴시티(서울),24,28,(주)중앙고속,우등
2,05 : 00,광주(유·스퀘어),센트럴시티(서울),20,28,금호고속(주),우등
3,05 : 30,광주(유·스퀘어),센트럴시티(서울),16,28,금호고속(주),우등
4,05 : 40,광주(유·스퀘어),센트럴시티(서울),19,28,(주)중앙고속,우등
5,05 : 50,광주(유·스퀘어),센트럴시티(서울),32,45,금호고속(주),고속
6,06 : 15,광주(유·스퀘어),센트럴시티(서울),27,45,(주)중앙고속,고속
7,06 : 20,광주(유·스퀘어),센트럴시티(서울),17,28,금호고속(주),우등
8,06 : 35,광주(유·스퀘어),센트럴시티(서울),12,28,금호고속(주),우등
9,07 : 00,광주(유·스퀘어),센트럴시티(서울),8,21,금호고속(주),프리미엄
10,07 : 25,광주(유·스퀘어),센트럴시티(서울),13,28,금호고속(주),우등
11,07 : 50,광주(유·스퀘어),센트럴시티(서울),19,45,금호고속(주),고속
12,07 : 55,광주(유·스퀘어),센트럴시티(서울),22,28,금호고속(주),우등
13,08 : 05,광주(유·스퀘어),센트럴시티(서울),22,28,(주)중앙고속,우등
14,08 : 15,광주(유·스퀘어),센트럴시티(서울),15,45,(주)중앙고속,고속
15,08 : 30,광주(유·스퀘어),센트럴시티(서울),14,21,금호고속(주),프리미엄
16,08 : 40,광주(유·스퀘어),센트럴시티(서울),19,28,금호고속(주),우등
17,08 : 55,광주(유·스퀘어),센트럴시티(서울),14,28,금호고속(주),우등
18,09 : 00,광주(유·스퀘어),센트럴시티(서울),4,21,(주)중앙고속,프리미엄
19,09 : 10,광주(유·스퀘어),센트럴시티(서울),17,28,금호고속(주),우등
20,09 : 20,광주(유·스퀘어),센트럴시티(서울),18,28,금호고속(주),우등
21,09 : 35,광주(유·스퀘어),센트럴시티(서울),16,28,금호고속(주),우등
22,09 : 50,광주(유·스퀘어),센트럴시티(서울),24,45,금호고속(주),고속
23,10 : 00,광주(유·스퀘어),센트럴시티(서울),4,21,금호고속(주),프리미엄
24,10 : 05,광주(유·스퀘어),센트럴시티(서울),16,28,금호고속(주),우등
25,10 : 10,광주(유·스퀘어),센트럴시티(서울),20,45,(주)중앙고속,고속
26,10 : 15,광주(유·스퀘어),센트럴시티(서울),13,28,금호고속(주),우등
27,10 : 25,광주(유·스퀘어),센트럴시티(서울),12,28,(주)중앙고속,우등
28,10 : 50,광주(유·스퀘어),센트럴시티(서울),15,28,금호고속(주),우등
