,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 00,서울경부,속초,11,28,(주)동부고속,우등
1,06 : 30,서울경부,속초,0,28,(주)동부고속,우등
2,07 : 00,서울경부,속초,0,28,(주)동부고속,우등
3,07 : 30,서울경부,속초,0,28,(주)동부고속,우등
4,08 : 00,서울경부,속초,0,21,(주)중앙고속,프리미엄
5,08 : 10,서울경부,속초,1,28,(주)중앙고속,우등
6,08 : 20,서울경부,속초,0,28,(주)중앙고속,우등
7,08 : 30,서울경부,속초,0,28,(주)동부고속,우등
8,08 : 40,서울경부,속초,0,28,(주)동부고속,우등
9,08 : 45,서울경부,속초,1,28,(주)동부고속,우등
10,08 : 50,서울경부,속초,4,28,(주)동부고속,우등
11,08 : 55,서울경부,속초,18,28,(주)중앙고속,우등
12,09 : 00,서울경부,속초,2,21,(주)동부고속,프리미엄
13,09 : 10,서울경부,속초,4,28,(주)동부고속,우등
14,09 : 15,서울경부,속초,6,28,(주)동부고속,우등
15,09 : 20,서울경부,속초,6,28,(주)동부고속,우등
16,09 : 30,서울경부,속초,3,45,(주)동부고속,고속
17,09 : 35,서울경부,속초,24,28,(주)동부고속,우등
18,09 : 40,서울경부,속초,8,28,(주)중앙고속,우등
19,09 : 45,서울경부,속초,1,28,(주)중앙고속,우등
20,09 : 50,서울경부,속초,9,28,(주)동부고속,우등
21,09 : 55,서울경부,속초,5,28,(주)동부고속,우등
22,10 : 00,서울경부,속초,0,21,(주)동부고속,프리미엄
23,10 : 05,서울경부,속초,23,28,(주)동부고속,우등
24,10 : 10,서울경부,속초,7,45,(주)동부고속,고속
25,10 : 20,서울경부,속초,1,28,(주)동부고속,우등
26,10 : 30,서울경부,속초,1,28,(주)동부고속,우등
27,10 : 40,서울경부,속초,1,28,(주)동부고속,우등
28,10 : 50,서울경부,속초,0,28,(주)동부고속,우등
29,11 : 00,서울경부,속초,0,28,(주)동부고속,우등
30,11 : 10,서울경부,속초,5,45,(주)동부고속,고속
31,11 : 20,서울경부,속초,10,28,(주)동부고속,우등
32,11 : 30,서울경부,속초,3,28,(주)동부고속,우등
33,12 : 00,서울경부,속초,1,28,(주)동부고속,우등
34,12 : 10,서울경부,속초,2,28,(주)동부고속,우등
35,12 : 30,서울경부,속초,2,28,(주)동부고속,우등
36,13 : 00,서울경부,속초,0,21,(주)동부고속,프리미엄
37,13 : 10,서울경부,속초,7,28,(주)동부고속,우등
38,13 : 20,서울경부,속초,2,28,(주)중앙고속,우등
39,13 : 40,서울경부,속초,21,28,(주)동부고속,우등
40,14 : 00,서울경부,속초,1,21,(주)동부고속,프리미엄
41,14 : 15,서울경부,속초,23,28,(주)동부고속,우등
42,14 : 30,서울경부,속초,42,45,(주)동부고속,고속
43,14 : 45,서울경부,속초,25,28,(주)중앙고속,우등
44,15 : 00,서울경부,속초,6,21,(주)동부고속,프리미엄
45,15 : 20,서울경부,속초,14,28,(주)동부고속,우등
46,15 : 40,서울경부,속초,23,28,(주)동부고속,우등
47,16 : 30,서울경부,속초,17,28,(주)동부고속,우등
48,17 : 30,서울경부,속초,19,28,(주)동부고속,우등
49,18 : 00,서울경부,속초,12,21,(주)중앙고속,프리미엄
50,18 : 20,서울경부,속초,27,28,(주)중앙고속,우등
51,18 : 40,서울경부,속초,28,28,(주)동부고속,우등
52,19 : 00,서울경부,속초,15,21,(주)동부고속,프리미엄
53,19 : 15,서울경부,속초,23,28,(주)동부고속,우등
54,19 : 30,서울경부,속초,41,45,(주)동부고속,고속
55,19 : 45,서울경부,속초,27,28,(주)중앙고속,우등
56,20 : 00,서울경부,속초,16,21,(주)동부고속,프리미엄
