,time,departure,arrival,remain_seat,total_seat,company,grade
0,09 : 00,동서울,전주,27,28,(주)천일고속,우등
1,10 : 00,동서울,전주,12,28,(주)동양고속,우등
2,10 : 30,동서울,전주,26,28,금호고속(주),우등
3,11 : 00,동서울,전주,19,28,(주)중앙고속,우등
4,12 : 00,동서울,전주,23,28,(주)천일고속,우등
5,13 : 00,동서울,전주,23,28,(주)동양고속,우등
6,13 : 30,동서울,전주,27,28,금호고속(주),우등
7,15 : 00,동서울,전주,41,45,금호고속(주),고속
8,16 : 00,동서울,전주,22,28,금호고속(주),우등
9,17 : 30,동서울,전주,20,28,(주)동양고속,우등
10,19 : 30,동서울,전주,27,28,금호고속(주),우등
11,20 : 00,동서울,전주,21,28,(주)중앙고속,우등
12,20 : 30,동서울,전주,26,28,(주)동양고속,우등
13,22 : 10,동서울,전주,27,28,(주)천일고속,심야우등
14,05 : 30,센트럴시티(서울),전주,22,28,금호고속(주),우등
15,06 : 00,센트럴시티(서울),전주,23,28,(주)동양고속,우등
16,06 : 10,센트럴시티(서울),전주,19,21,(주)동양고속,프리미엄
17,06 : 25,센트럴시티(서울),전주,43,45,(주)천일고속,고속
18,06 : 35,센트럴시티(서울),전주,22,28,(주)천일고속,우등
19,06 : 55,센트럴시티(서울),전주,17,21,(주)중앙고속,프리미엄
20,07 : 10,센트럴시티(서울),전주,36,45,(주)천일고속,고속
21,07 : 20,센트럴시티(서울),전주,25,28,(주)동양고속,우등
22,07 : 30,센트럴시티(서울),전주,18,21,(주)동양고속,프리미엄
23,07 : 40,센트럴시티(서울),전주,25,28,(주)동양고속,우등
24,08 : 05,센트럴시티(서울),전주,25,28,(주)천일고속,우등
25,08 : 20,센트럴시티(서울),전주,16,21,금호고속(주),프리미엄
26,08 : 30,센트럴시티(서울),전주,8,28,(주)동양고속,우등
27,08 : 45,센트럴시티(서울),전주,39,45,(주)천일고속,고속
28,08 : 55,센트럴시티(서울),전주,28,28,금호고속(주),우등
29,09 : 05,센트럴시티(서울),전주,11,21,(주)천일고속,프리미엄
30,09 : 15,센트럴시티(서울),전주,19,28,(주)동양고속,우등
31,09 : 30,센트럴시티(서울),전주,43,45,금호고속(주),고속
32,09 : 40,센트럴시티(서울),전주,22,28,(주)중앙고속,우등
33,09 : 50,센트럴시티(서울),전주,18,21,(주)동양고속,프리미엄
34,10 : 05,센트럴시티(서울),전주,35,45,(주)동양고속,고속
35,10 : 15,센트럴시티(서울),전주,16,28,(주)동양고속,우등
36,10 : 25,센트럴시티(서울),전주,14,21,(주)중앙고속,프리미엄
37,10 : 40,센트럴시티(서울),전주,39,45,(주)중앙고속,고속
38,10 : 50,센트럴시티(서울),전주,24,28,(주)천일고속,우등
39,11 : 00,센트럴시티(서울),전주,26,28,(주)동양고속,우등
40,11 : 10,센트럴시티(서울),전주,19,21,금호고속(주),프리미엄
41,11 : 45,센트럴시티(서울),전주,18,21,(주)동양고속,프리미엄
42,11 : 55,센트럴시티(서울),전주,28,28,(주)동양고속,우등
43,12 : 10,센트럴시티(서울),전주,27,45,(주)중앙고속,고속
44,12 : 20,센트럴시티(서울),전주,27,28,(주)중앙고속,우등
45,12 : 30,센트럴시티(서울),전주,28,28,(주)천일고속,우등
46,12 : 50,센트럴시티(서울),전주,12,21,(주)중앙고속,프리미엄
47,13 : 00,센트럴시티(서울),전주,16,28,(주)동양고속,우등
48,13 : 15,센트럴시티(서울),전주,41,45,금호고속(주),고속
49,13 : 25,센트럴시티(서울),전주,26,28,금호고속(주),우등
50,13 : 35,센트럴시티(서울),전주,15,21,(주)동양고속,프리미엄
51,13 : 45,센트럴시티(서울),전주,43,45,(주)중앙고속,고속
52,14 : 10,센트럴시티(서울),전주,13,21,(주)천일고속,프리미엄
53,14 : 20,센트럴시티(서울),전주,11,28,(주)중앙고속,우등
54,14 : 45,센트럴시티(서울),전주,24,28,(주)동양고속,우등
55,14 : 55,센트럴시티(서울),전주,15,21,(주)동양고속,프리미엄
56,15 : 10,센트럴시티(서울),전주,38,45,(주)동양고속,고속
57,15 : 20,센트럴시티(서울),전주,24,28,(주)동양고속,우등
