,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 50,서울경부,춘천,27,28,(주)대원고속,고속
1,07 : 40,서울경부,춘천,28,28,강원고속(주),고속
2,08 : 20,서울경부,춘천,27,28,(주)대원고속,고속
3,09 : 00,서울경부,춘천,22,28,강원고속(주),고속
4,09 : 50,서울경부,춘천,22,28,(주)대원고속,고속
5,10 : 40,서울경부,춘천,28,28,강원고속(주),고속
6,11 : 20,서울경부,춘천,24,28,(주)대원고속,고속
7,12 : 00,서울경부,춘천,20,28,강원고속(주),고속
8,12 : 50,서울경부,춘천,26,28,(주)대원고속,고속
9,13 : 40,서울경부,춘천,24,28,강원고속(주),고속
10,14 : 20,서울경부,춘천,27,28,(주)대원고속,고속
11,15 : 10,서울경부,춘천,26,28,강원고속(주),고속
12,16 : 00,서울경부,춘천,27,28,(주)대원고속,고속
13,16 : 40,서울경부,춘천,28,28,강원고속(주),고속
14,17 : 20,서울경부,춘천,27,28,(주)대원고속,고속
15,18 : 00,서울경부,춘천,28,28,강원고속(주),고속
16,18 : 50,서울경부,춘천,28,28,(주)대원고속,고속
17,19 : 40,서울경부,춘천,27,28,강원고속(주),고속
18,20 : 20,서울경부,춘천,28,28,(주)대원고속,고속
19,21 : 00,서울경부,춘천,25,28,강원고속(주),고속
20,07 : 00,동대구,춘천,20,28,(주)대원고속,우등
21,10 : 00,동대구,춘천,19,28,(주)중앙고속,우등
22,12 : 00,동대구,춘천,1,28,(주)한일고속,우등
23,15 : 00,동대구,춘천,0,28,(주)대원고속,우등
24,17 : 30,동대구,춘천,0,28,(주)대원고속,우등
25,07 : 00,서대구,춘천,20,28,(주)대원고속,우등
26,10 : 00,서대구,춘천,19,28,(주)중앙고속,우등
27,12 : 00,서대구,춘천,1,28,(주)한일고속,우등
28,15 : 00,서대구,춘천,0,28,(주)대원고속,우등
29,17 : 30,서대구,춘천,0,28,(주)대원고속,우등
30,08 : 10,광주(유·스퀘어),춘천,19,28,(주)대원고속,우등
31,17 : 25,광주(유·스퀘어),춘천,13,28,(주)대원고속,우등
