,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 00,서울경부,강릉,27,28,(주)중앙고속,우등
1,06 : 30,서울경부,강릉,25,28,(주)동부고속,우등
2,07 : 00,서울경부,강릉,22,28,(주)중앙고속,우등
3,07 : 30,서울경부,강릉,20,45,(주)중앙고속,고속
4,08 : 00,서울경부,강릉,2,21,(주)동부고속,프리미엄
5,08 : 20,서울경부,강릉,4,28,(주)동부고속,우등
6,08 : 40,서울경부,강릉,4,28,(주)동부고속,우등
7,09 : 00,서울경부,강릉,2,45,(주)동부고속,고속
8,09 : 30,서울경부,강릉,0,28,(주)동부고속,우등
9,10 : 00,서울경부,강릉,1,28,(주)중앙고속,우등
10,10 : 40,서울경부,강릉,0,21,(주)중앙고속,프리미엄
11,11 : 20,서울경부,강릉,8,28,(주)중앙고속,우등
12,12 : 00,서울경부,강릉,23,28,(주)동부고속,우등
13,12 : 30,서울경부,강릉,36,45,(주)중앙고속,고속
14,13 : 00,서울경부,강릉,25,28,(주)중앙고속,우등
15,13 : 30,서울경부,강릉,14,21,(주)중앙고속,프리미엄
16,14 : 30,서울경부,강릉,37,45,(주)동부고속,고속
17,15 : 30,서울경부,강릉,25,28,(주)동부고속,우등
18,17 : 00,서울경부,강릉,18,21,(주)동부고속,프리미엄
19,17 : 30,서울경부,강릉,27,28,(주)중앙고속,우등
20,18 : 00,서울경부,강릉,28,28,(주)동부고속,우등
21,18 : 30,서울경부,강릉,43,45,(주)중앙고속,고속
22,19 : 00,서울경부,강릉,28,28,(주)중앙고속,우등
23,19 : 30,서울경부,강릉,18,21,(주)동부고속,프리미엄
24,20 : 00,서울경부,강릉,43,45,(주)동부고속,고속
25,20 : 30,서울경부,강릉,28,28,(주)동부고속,우등
26,21 : 00,서울경부,강릉,28,28,(주)동부고속,우등
27,21 : 30,서울경부,강릉,27,28,(주)동부고속,우등
28,22 : 00,서울경부,강릉,20,21,(주)중앙고속,심야프리미엄
29,06 : 20,동서울,강릉,17,28,(주)동부고속,우등
30,07 : 10,동서울,강릉,7,28,(주)중앙고속,우등
31,08 : 00,동서울,강릉,9,28,(주)동부고속,우등
32,08 : 40,동서울,강릉,2,28,(주)중앙고속,우등
33,09 : 20,동서울,강릉,3,28,(주)동부고속,우등
34,09 : 30,동서울,강릉,12,28,(주)동부고속,우등
35,10 : 00,동서울,강릉,4,28,(주)동부고속,우등
36,10 : 40,동서울,강릉,3,28,(주)중앙고속,우등
37,11 : 20,동서울,강릉,0,28,(주)동부고속,우등
38,12 : 00,동서울,강릉,7,28,(주)중앙고속,우등
39,13 : 00,동서울,강릉,28,28,(주)동부고속,우등
40,14 : 00,동서울,강릉,17,28,(주)중앙고속,우등
41,14 : 50,동서울,강릉,21,28,(주)중앙고속,우등
42,16 : 30,동서울,강릉,27,28,(주)중앙고속,우등
43,17 : 20,동서울,강릉,24,28,(주)동부고속,우등
44,18 : 10,동서울,강릉,22,28,(주)중앙고속,우등
45,19 : 00,동서울,강릉,26,28,(주)동부고속,우등
46,19 : 50,동서울,강릉,25,28,(주)중앙고속,우등
47,06 : 25,고양백석,강릉,0,28,(주)동부고속,우등
48,11 : 45,고양백석,강릉,13,45,(주)중앙고속,고속
49,17 : 15,고양백석,강릉,18,28,(주)동부고속,우등
50,06 : 40,대전복합,강릉,20,28,(주)대원고속,우등
51,08 : 40,대전복합,강릉,38,41,(주)대원고속,고속
52,10 : 00,대전복합,강릉,0,28,(주)대원고속,우등
53,11 : 40,대전복합,강릉,21,28,(주)대원고속,우등
54,13 : 20,대전복합,강릉,39,41,(주)대원고속,고속
55,15 : 00,대전복합,강릉,26,28,(주)대원고속,우등
56,16 : 40,대전복합,강릉,27,28,(주)대원고속,우등
57,18 : 00,대전복합,강릉,41,41,(주)대원고속,고속
58,19 : 40,대전복합,강릉,26,28,(주)대원고속,우등
59,06 : 10,원주,강릉,26,28,(주)대원고속,우등
60,07 : 00,원주,강릉,25,28,(주)대원고속,우등
61,08 : 20,원주,강릉,23,28,(주)대원고속,우등
62,09 : 40,원주,강릉,18,28,(주)대원고속,우등
63,11 : 50,원주,강릉,23,28,(주)대원고속,우등
64,12 : 50,원주,강릉,24,28,(주)대원고속,우등
65,13 : 50,원주,강릉,27,28,(주)대원고속,우등
66,14 : 50,원주,강릉,27,28,(주)대원고속,우등
67,16 : 50,원주,강릉,26,28,(주)대원고속,우등
68,17 : 50,원주,강릉,26,28,(주)대원고속,우등
69,18 : 50,원주,강릉,27,28,(주)대원고속,우등
70,19 : 50,원주,강릉,28,28,(주)대원고속,우등
