,time,departure,arrival,remain_seat,total_seat,company,grade
0,07 : 20,동서울,광주(유·스퀘어),26,28,금호고속(주),우등
1,08 : 00,동서울,광주(유·스퀘어),40,45,(주)중앙고속,고속
2,09 : 20,동서울,광주(유·스퀘어),20,21,금호고속(주),프리미엄
3,10 : 00,동서울,광주(유·스퀘어),26,28,금호고속(주),우등
4,10 : 30,동서울,광주(유·스퀘어),39,45,금호고속(주),고속
5,11 : 30,동서울,광주(유·스퀘어),23,28,금호고속(주),우등
6,12 : 50,동서울,광주(유·스퀘어),25,28,금호고속(주),우등
7,14 : 30,동서울,광주(유·스퀘어),26,28,금호고속(주),우등
8,15 : 30,동서울,광주(유·스퀘어),21,21,금호고속(주),프리미엄
9,16 : 30,동서울,광주(유·스퀘어),24,45,금호고속(주),고속
10,18 : 30,동서울,광주(유·스퀘어),22,28,금호고속(주),우등
11,19 : 50,동서울,광주(유·스퀘어),41,45,(주)중앙고속,고속
12,21 : 10,동서울,광주(유·스퀘어),28,28,금호고속(주),우등
13,01 : 00,센트럴시티(서울),광주(유·스퀘어),18,28,금호고속(주),심야우등
14,05 : 30,센트럴시티(서울),광주(유·스퀘어),22,28,금호고속(주),우등
15,05 : 50,센트럴시티(서울),광주(유·스퀘어),41,45,금호고속(주),고속
16,06 : 15,센트럴시티(서울),광주(유·스퀘어),42,45,(주)중앙고속,고속
17,06 : 45,센트럴시티(서울),광주(유·스퀘어),21,28,금호고속(주),우등
18,07 : 00,센트럴시티(서울),광주(유·스퀘어),19,21,금호고속(주),프리미엄
19,07 : 20,센트럴시티(서울),광주(유·스퀘어),27,28,(주)중앙고속,우등
20,07 : 35,센트럴시티(서울),광주(유·스퀘어),28,45,금호고속(주),고속
21,08 : 30,센트럴시티(서울),광주(유·스퀘어),17,21,금호고속(주),프리미엄
22,08 : 50,센트럴시티(서울),광주(유·스퀘어),18,28,금호고속(주),우등
23,09 : 00,센트럴시티(서울),광주(유·스퀘어),18,21,(주)중앙고속,프리미엄
24,09 : 55,센트럴시티(서울),광주(유·스퀘어),23,28,금호고속(주),우등
25,10 : 15,센트럴시티(서울),광주(유·스퀘어),32,45,금호고속(주),고속
26,10 : 30,센트럴시티(서울),광주(유·스퀘어),18,21,금호고속(주),프리미엄
27,10 : 35,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),우등
28,10 : 45,센트럴시티(서울),광주(유·스퀘어),28,28,(주)중앙고속,우등
29,11 : 00,센트럴시티(서울),광주(유·스퀘어),17,21,금호고속(주),프리미엄
30,11 : 10,센트럴시티(서울),광주(유·스퀘어),41,45,(주)중앙고속,고속
31,11 : 25,센트럴시티(서울),광주(유·스퀘어),26,28,금호고속(주),우등
32,11 : 30,센트럴시티(서울),광주(유·스퀘어),16,21,(주)중앙고속,프리미엄
33,11 : 50,센트럴시티(서울),광주(유·스퀘어),44,45,금호고속(주),고속
34,12 : 15,센트럴시티(서울),광주(유·스퀘어),25,28,금호고속(주),우등
35,12 : 50,센트럴시티(서울),광주(유·스퀘어),37,45,금호고속(주),고속
36,13 : 00,센트럴시티(서울),광주(유·스퀘어),11,21,금호고속(주),프리미엄
37,13 : 15,센트럴시티(서울),광주(유·스퀘어),43,45,(주)중앙고속,고속
38,13 : 30,센트럴시티(서울),광주(유·스퀘어),22,28,금호고속(주),우등
39,13 : 40,센트럴시티(서울),광주(유·스퀘어),27,28,(주)중앙고속,우등
40,14 : 00,센트럴시티(서울),광주(유·스퀘어),13,21,금호고속(주),프리미엄
41,14 : 15,센트럴시티(서울),광주(유·스퀘어),44,45,금호고속(주),고속
42,14 : 25,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),우등
43,14 : 45,센트럴시티(서울),광주(유·스퀘어),44,45,금호고속(주),고속
44,15 : 15,센트럴시티(서울),광주(유·스퀘어),25,28,금호고속(주),우등
45,15 : 30,센트럴시티(서울),광주(유·스퀘어),17,21,금호고속(주),프리미엄
46,15 : 55,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),우등
47,16 : 00,센트럴시티(서울),광주(유·스퀘어),19,21,(주)중앙고속,프리미엄
48,16 : 05,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),우등
49,16 : 25,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),우등
50,16 : 45,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),우등
51,16 : 50,센트럴시티(서울),광주(유·스퀘어),43,45,금호고속(주),고속
52,16 : 55,센트럴시티(서울),광주(유·스퀘어),27,28,(주)중앙고속,우등
53,17 : 10,센트럴시티(서울),광주(유·스퀘어),39,45,(주)중앙고속,고속
54,17 : 20,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),우등
55,17 : 30,센트럴시티(서울),광주(유·스퀘어),20,21,금호고속(주),프리미엄
56,17 : 45,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),우등
57,17 : 50,센트럴시티(서울),광주(유·스퀘어),28,28,(주)중앙고속,우등
58,18 : 00,센트럴시티(서울),광주(유·스퀘어),20,21,금호고속(주),프리미엄
59,18 : 25,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),우등
60,19 : 00,센트럴시티(서울),광주(유·스퀘어),17,21,금호고속(주),프리미엄
61,19 : 20,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),우등
62,19 : 40,센트럴시티(서울),광주(유·스퀘어),44,45,금호고속(주),고속
63,19 : 55,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),우등
64,20 : 00,센트럴시티(서울),광주(유·스퀘어),20,21,금호고속(주),프리미엄
65,20 : 45,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),우등
66,21 : 00,센트럴시티(서울),광주(유·스퀘어),21,21,(주)중앙고속,프리미엄
67,21 : 30,센트럴시티(서울),광주(유·스퀘어),25,28,금호고속(주),우등
68,22 : 00,센트럴시티(서울),광주(유·스퀘어),20,21,금호고속(주),심야프리미엄
69,22 : 10,센트럴시티(서울),광주(유·스퀘어),27,28,금호고속(주),심야우등
70,22 : 20,센트럴시티(서울),광주(유·스퀘어),26,28,(주)중앙고속,심야우등
71,23 : 00,센트럴시티(서울),광주(유·스퀘어),28,28,금호고속(주),심야우등
