,time,departure,arrival,remain_seat,total_seat,company,grade
0,07 : 30,동서울,동광양,42,45,(주)동양고속,고속
1,08 : 30,동서울,동광양,24,28,(주)동양고속,우등
2,13 : 00,동서울,동광양,24,28,금호고속(주),우등
3,14 : 30,동서울,동광양,24,28,(주)중앙고속,우등
4,17 : 30,동서울,동광양,27,28,(주)한일고속,우등
5,18 : 30,동서울,동광양,26,45,금호고속(주),고속
6,08 : 40,센트럴시티(서울),동광양,13,28,금호고속(주),우등
7,12 : 00,센트럴시티(서울),동광양,18,28,금호고속(주),우등
8,14 : 05,센트럴시티(서울),동광양,17,28,금호고속(주),우등
9,16 : 30,센트럴시티(서울),동광양,18,28,금호고속(주),우등
10,18 : 40,센트럴시티(서울),동광양,25,28,금호고속(주),우등
11,20 : 20,센트럴시티(서울),동광양,26,28,금호고속(주),우등
12,22 : 20,센트럴시티(서울),동광양,26,28,금호고속(주),심야우등
