,time,departure,arrival,remain_seat,total_seat,company,grade
0,00 : 30,서울경부,동대구,21,28,(주)동양고속,심야우등
1,01 : 00,서울경부,동대구,24,28,(주)한일고속,심야우등
2,06 : 00,서울경부,동대구,26,28,(주)동양고속,우등
3,08 : 30,서울경부,동대구,18,21,금호고속(주),프리미엄
4,09 : 00,서울경부,동대구,26,28,(주)한일고속,우등
5,09 : 30,서울경부,동대구,24,28,(주)동양고속,우등
6,10 : 00,서울경부,동대구,18,21,(주)동양고속,프리미엄
7,11 : 20,서울경부,동대구,26,28,(주)동양고속,우등
8,11 : 40,서울경부,동대구,41,45,(주)동양고속,고속
9,12 : 40,서울경부,동대구,28,28,금호고속(주),우등
10,13 : 00,서울경부,동대구,23,28,(주)동양고속,우등
11,13 : 40,서울경부,동대구,17,45,(주)천일고속,고속
12,14 : 40,서울경부,동대구,28,28,(주)중앙고속,우등
13,15 : 00,서울경부,동대구,8,21,(주)삼화고속,프리미엄
14,15 : 20,서울경부,동대구,27,28,(주)동양고속,우등
15,16 : 00,서울경부,동대구,17,21,(주)동양고속,프리미엄
16,16 : 45,서울경부,동대구,27,28,금호고속(주),우등
17,17 : 40,서울경부,동대구,28,28,(주)동양고속,우등
18,18 : 20,서울경부,동대구,20,21,(주)천일고속,프리미엄
19,18 : 40,서울경부,동대구,42,45,(주)중앙고속,고속
20,19 : 00,서울경부,동대구,28,28,(주)동양고속,우등
21,19 : 20,서울경부,동대구,19,21,(주)중앙고속,프리미엄
22,19 : 40,서울경부,동대구,43,45,금호고속(주),고속
23,20 : 00,서울경부,동대구,26,28,(주)한일고속,우등
24,20 : 20,서울경부,동대구,28,28,(주)동양고속,우등
25,06 : 00,동서울,동대구,43,45,(주)동양고속,고속
26,08 : 40,동서울,동대구,27,28,(주)동양고속,우등
27,10 : 40,동서울,동대구,21,28,(주)동양고속,우등
28,12 : 00,동서울,동대구,35,45,(주)천일고속,고속
29,13 : 30,동서울,동대구,26,28,금호고속(주),우등
30,15 : 30,동서울,동대구,39,45,(주)한일고속,고속
31,16 : 00,동서울,동대구,27,28,(주)동양고속,우등
32,17 : 20,동서울,동대구,28,28,금호고속(주),우등
33,18 : 00,동서울,동대구,39,45,(주)동양고속,고속
34,22 : 00,동서울,동대구,26,28,(주)동양고속,심야우등
