,time,departure,arrival,remain_seat,total_seat,company,grade
0,01 : 00,서울경부,마산,24,28,(주)동양고속,심야우등
1,06 : 05,서울경부,마산,19,28,(주)동양고속,우등
2,06 : 45,서울경부,마산,16,21,(주)동양고속,프리미엄
3,08 : 00,서울경부,마산,14,21,(주)동양고속,프리미엄
4,09 : 10,서울경부,마산,19,21,(주)동양고속,프리미엄
5,09 : 45,서울경부,마산,39,45,(주)동양고속,고속
6,10 : 30,서울경부,마산,19,21,(주)중앙고속,프리미엄
7,11 : 10,서울경부,마산,24,28,(주)동양고속,우등
8,12 : 30,서울경부,마산,19,28,(주)동양고속,우등
9,13 : 45,서울경부,마산,23,28,(주)동양고속,우등
10,15 : 00,서울경부,마산,25,28,(주)동양고속,우등
11,15 : 35,서울경부,마산,11,21,(주)동양고속,프리미엄
12,16 : 45,서울경부,마산,15,21,(주)동양고속,프리미엄
13,17 : 55,서울경부,마산,18,21,(주)중앙고속,프리미엄
14,18 : 30,서울경부,마산,39,45,(주)동양고속,고속
15,19 : 30,서울경부,마산,22,28,(주)동양고속,우등
16,20 : 30,서울경부,마산,25,28,(주)동양고속,우등
17,21 : 00,서울경부,마산,21,21,(주)동양고속,프리미엄
18,21 : 30,서울경부,마산,28,28,(주)동양고속,우등
19,22 : 30,서울경부,마산,28,28,(주)동양고속,심야우등
20,23 : 30,서울경부,마산,20,21,(주)동양고속,심야프리미엄
21,07 : 10,동서울,마산,25,28,(주)동양고속,우등
22,12 : 30,동서울,마산,20,28,(주)동양고속,우등
23,14 : 10,동서울,마산,19,21,(주)동양고속,프리미엄
24,15 : 50,동서울,마산,25,28,(주)동양고속,우등
25,17 : 40,동서울,마산,19,21,(주)동양고속,프리미엄
26,22 : 00,동서울,마산,27,28,(주)동양고속,심야우등
27,10 : 10,용인,마산,21,28,(주)중앙고속,우등
28,16 : 10,용인,마산,24,28,(주)동양고속,우등
29,07 : 30,성남(분당),마산,19,28,(주)동양고속,우등
30,09 : 00,성남(분당),마산,13,28,(주)중앙고속,우등
31,13 : 00,성남(분당),마산,20,28,(주)동양고속,우등
32,16 : 30,성남(분당),마산,42,45,(주)동양고속,고속
33,18 : 30,성남(분당),마산,28,28,(주)동양고속,우등
34,20 : 00,성남(분당),마산,28,28,(주)동양고속,우등
35,07 : 15,동대구,마산,44,45,(주)동양고속,고속
36,08 : 10,동대구,마산,25,28,(주)천일고속,우등
37,09 : 15,동대구,마산,23,28,(주)동양고속,우등
38,13 : 20,동대구,마산,45,45,(주)동양고속,고속
39,14 : 15,동대구,마산,23,28,(주)천일고속,우등
40,15 : 40,동대구,마산,28,28,(주)동양고속,우등
41,21 : 05,동대구,마산,45,45,(주)동양고속,고속
42,07 : 15,서대구,마산,44,45,(주)동양고속,고속
43,08 : 10,서대구,마산,25,28,(주)천일고속,우등
44,09 : 15,서대구,마산,23,28,(주)동양고속,우등
45,13 : 20,서대구,마산,45,45,(주)동양고속,고속
46,14 : 15,서대구,마산,23,28,(주)천일고속,우등
47,15 : 40,서대구,마산,28,28,(주)동양고속,우등
48,21 : 05,서대구,마산,45,45,(주)동양고속,고속
49,08 : 05,광주(유·스퀘어),마산,30,40,금호고속(주),고속
50,09 : 20,광주(유·스퀘어),마산,27,28,금호고속(주),우등
51,10 : 20,광주(유·스퀘어),마산,33,40,금호고속(주),고속
52,14 : 25,광주(유·스퀘어),마산,33,40,금호고속(주),고속
53,18 : 15,광주(유·스퀘어),마산,23,28,금호고속(주),우등
54,20 : 05,광주(유·스퀘어),마산,38,40,금호고속(주),고속
55,22 : 05,광주(유·스퀘어),마산,26,28,금호고속(주),심야우등
