,time,departure,arrival,remain_seat,total_seat,company,grade
0,05 : 35,센트럴시티(서울),목포,26,28,금호고속(주),우등
1,07 : 00,센트럴시티(서울),목포,15,21,금호고속(주),프리미엄
2,08 : 00,센트럴시티(서울),목포,34,45,금호고속(주),고속
3,09 : 00,센트럴시티(서울),목포,16,21,금호고속(주),프리미엄
4,10 : 20,센트럴시티(서울),목포,27,28,금호고속(주),우등
5,12 : 00,센트럴시티(서울),목포,26,28,금호고속(주),우등
6,13 : 00,센트럴시티(서울),목포,19,21,금호고속(주),프리미엄
7,13 : 40,센트럴시티(서울),목포,25,28,금호고속(주),우등
8,15 : 00,센트럴시티(서울),목포,20,21,금호고속(주),프리미엄
9,16 : 20,센트럴시티(서울),목포,42,45,금호고속(주),고속
10,17 : 00,센트럴시티(서울),목포,19,21,금호고속(주),프리미엄
11,19 : 00,센트럴시티(서울),목포,17,21,금호고속(주),프리미엄
12,20 : 00,센트럴시티(서울),목포,27,28,금호고속(주),우등
13,22 : 00,센트럴시티(서울),목포,20,21,금호고속(주),심야프리미엄
14,23 : 55,센트럴시티(서울),목포,28,28,금호고속(주),심야우등
15,08 : 50,수원,목포,19,28,금호고속(주),우등
16,10 : 40,수원,목포,20,28,금호고속(주),우등
17,16 : 20,수원,목포,24,28,(주)삼화고속,우등
18,12 : 40,동대구,목포,18,28,코리아와이드경북,우등
19,15 : 40,동대구,목포,15,28,금호고속(주),우등
20,07 : 40,인천,목포,24,28,(주)삼화고속,우등
21,09 : 50,인천,목포,34,45,(주)삼화고속,고속
22,13 : 50,인천,목포,17,28,금호고속(주),우등
23,17 : 50,인천,목포,25,28,금호고속(주),우등
