,time,departure,arrival,remain_seat,total_seat,company,grade
0,00 : 30,서울경부,부산,18,28,(주)동양고속,심야우등
1,01 : 30,서울경부,부산,24,28,(주)중앙고속,심야우등
2,02 : 00,서울경부,부산,16,21,(주)중앙고속,심야프리미엄
3,06 : 30,서울경부,부산,13,21,(주)삼화고속,프리미엄
4,07 : 00,서울경부,부산,21,28,(주)한일고속,우등
5,08 : 00,서울경부,부산,15,28,(주)동양고속,우등
6,08 : 20,서울경부,부산,16,21,(주)천일고속,프리미엄
7,09 : 00,서울경부,부산,26,28,(주)중앙고속,우등
8,09 : 20,서울경부,부산,13,21,(주)한일고속,프리미엄
9,09 : 40,서울경부,부산,27,28,(주)동양고속,우등
10,10 : 30,서울경부,부산,10,21,금호고속(주),프리미엄
11,11 : 00,서울경부,부산,26,28,(주)동양고속,우등
12,11 : 30,서울경부,부산,24,28,(주)중앙고속,우등
13,12 : 00,서울경부,부산,16,21,(주)동양고속,프리미엄
14,12 : 30,서울경부,부산,23,28,(주)동양고속,우등
15,13 : 00,서울경부,부산,13,21,(주)삼화고속,프리미엄
16,13 : 30,서울경부,부산,26,28,금호고속(주),우등
17,14 : 00,서울경부,부산,21,21,(주)천일고속,프리미엄
18,15 : 00,서울경부,부산,19,21,(주)한일고속,프리미엄
19,16 : 00,서울경부,부산,20,21,(주)중앙고속,프리미엄
20,16 : 40,서울경부,부산,16,21,금호고속(주),프리미엄
21,17 : 00,서울경부,부산,23,28,금호고속(주),우등
22,17 : 20,서울경부,부산,35,45,(주)삼화고속,고속
23,19 : 30,서울경부,부산,43,45,(주)한일고속,고속
24,20 : 00,서울경부,부산,27,28,(주)한일고속,우등
25,20 : 30,서울경부,부산,19,21,(주)삼화고속,프리미엄
26,21 : 30,서울경부,부산,21,21,(주)천일고속,프리미엄
27,22 : 30,서울경부,부산,24,28,금호고속(주),심야우등
28,23 : 00,서울경부,부산,21,21,금호고속(주),심야프리미엄
29,06 : 30,동서울,부산,35,45,(주)중앙고속,고속
30,09 : 20,동서울,부산,30,45,(주)한일고속,고속
31,10 : 30,동서울,부산,24,28,금호고속(주),우등
32,11 : 50,동서울,부산,26,28,금호고속(주),우등
33,14 : 40,동서울,부산,42,45,금호고속(주),고속
34,16 : 00,동서울,부산,23,28,(주)중앙고속,우등
35,18 : 40,동서울,부산,25,28,(주)천일고속,우등
36,23 : 50,동서울,부산,28,28,(주)한일고속,심야우등
37,06 : 30,용인,부산,23,28,(주)대원고속,우등
38,09 : 00,용인,부산,19,28,(주)대원고속,우등
39,11 : 30,용인,부산,23,28,경남여객,우등
40,14 : 00,용인,부산,24,28,(주)대원고속,우등
41,16 : 30,용인,부산,26,28,(주)대원고속,우등
42,07 : 20,성남(분당),부산,26,28,금호속리산고속(주),우등
43,09 : 30,성남(분당),부산,16,28,금호속리산고속(주),우등
44,15 : 00,성남(분당),부산,22,28,금호고속(주),우등
45,18 : 40,성남(분당),부산,28,28,금호고속(주),우등
46,07 : 20,동대구,부산,38,45,(주)동양고속,고속
47,08 : 00,동대구,부산,20,28,(주)천일고속,우등
48,09 : 00,동대구,부산,23,28,(주)한일고속,우등
49,09 : 40,동대구,부산,23,28,(주)동양고속,우등
50,10 : 20,동대구,부산,25,28,(주)한일고속,우등
51,11 : 00,동대구,부산,40,45,(주)천일고속,고속
52,12 : 20,동대구,부산,43,45,(주)동양고속,고속
53,13 : 00,동대구,부산,26,28,(주)천일고속,우등
54,14 : 20,동대구,부산,21,28,(주)한일고속,우등
55,15 : 00,동대구,부산,24,28,(주)동양고속,우등
56,15 : 40,동대구,부산,25,28,(주)한일고속,우등
57,17 : 40,동대구,부산,43,45,(주)동양고속,고속
58,18 : 20,동대구,부산,23,28,(주)천일고속,우등
59,19 : 30,동대구,부산,27,28,(주)한일고속,우등
60,20 : 10,동대구,부산,26,28,(주)동양고속,우등
61,20 : 40,동대구,부산,25,28,(주)한일고속,우등
62,07 : 00,광주(유·스퀘어),부산,21,28,(주)삼화고속,우등
63,07 : 50,광주(유·스퀘어),부산,17,45,금호고속(주),고속
64,08 : 35,광주(유·스퀘어),부산,3,21,금호고속(주),프리미엄
65,09 : 30,광주(유·스퀘어),부산,12,28,(주)삼화고속,우등
66,10 : 30,광주(유·스퀘어),부산,21,28,금호고속(주),우등
67,11 : 30,광주(유·스퀘어),부산,19,28,금호고속(주),우등
68,12 : 30,광주(유·스퀘어),부산,11,21,(주)삼화고속,프리미엄
69,13 : 15,광주(유·스퀘어),부산,37,45,금호고속(주),고속
70,14 : 20,광주(유·스퀘어),부산,15,21,금호고속(주),프리미엄
71,16 : 20,광주(유·스퀘어),부산,27,28,금호고속(주),우등
72,18 : 00,광주(유·스퀘어),부산,23,28,(주)삼화고속,우등
73,19 : 40,광주(유·스퀘어),부산,17,21,금호고속(주),프리미엄
74,21 : 00,광주(유·스퀘어),부산,28,28,(주)삼화고속,우등
75,23 : 05,광주(유·스퀘어),부산,27,28,금호고속(주),심야우등
76,10 : 00,대전복합,부산,26,28,(주)한일고속,우등
77,14 : 40,대전복합,부산,25,28,금호고속(주),우등
78,06 : 40,인천,부산,23,28,(주)동양고속,우등
79,07 : 50,인천,부산,6,21,(주)삼화고속,프리미엄
80,11 : 50,인천,부산,19,28,(주)천일고속,우등
81,13 : 00,인천,부산,21,28,(주)삼화고속,우등
82,18 : 40,인천,부산,26,28,(주)천일고속,우등
83,07 : 00,전주,부산,24,28,(주)동양고속,우등
84,08 : 40,전주,부산,4,21,(주)동양고속,프리미엄
85,10 : 20,전주,부산,18,28,(주)동양고속,우등
86,12 : 00,전주,부산,20,28,(주)동양고속,우등
87,13 : 40,전주,부산,27,28,(주)동양고속,우등
88,15 : 20,전주,부산,22,28,(주)동양고속,우등
89,17 : 00,전주,부산,17,21,(주)동양고속,프리미엄
90,19 : 00,전주,부산,26,28,(주)동양고속,우등
91,22 : 20,전주,부산,28,28,(주)동양고속,심야우등
