,time,departure,arrival,remain_seat,total_seat,company,grade
0,00 : 30,서울경부,서대구,21,28,(주)동양고속,심야우등
1,01 : 00,서울경부,서대구,24,28,(주)한일고속,심야우등
2,06 : 00,서울경부,서대구,26,28,(주)동양고속,우등
3,08 : 30,서울경부,서대구,18,21,금호고속(주),프리미엄
4,09 : 00,서울경부,서대구,26,28,(주)한일고속,우등
5,09 : 30,서울경부,서대구,24,28,(주)동양고속,우등
6,10 : 00,서울경부,서대구,18,21,(주)동양고속,프리미엄
7,11 : 20,서울경부,서대구,26,28,(주)동양고속,우등
8,11 : 40,서울경부,서대구,41,45,(주)동양고속,고속
9,12 : 40,서울경부,서대구,28,28,금호고속(주),우등
10,13 : 00,서울경부,서대구,23,28,(주)동양고속,우등
11,13 : 40,서울경부,서대구,17,45,(주)천일고속,고속
12,14 : 40,서울경부,서대구,28,28,(주)중앙고속,우등
13,15 : 00,서울경부,서대구,8,21,(주)삼화고속,프리미엄
14,15 : 20,서울경부,서대구,27,28,(주)동양고속,우등
15,16 : 00,서울경부,서대구,17,21,(주)동양고속,프리미엄
16,16 : 45,서울경부,서대구,27,28,금호고속(주),우등
17,18 : 20,서울경부,서대구,20,21,(주)천일고속,프리미엄
18,18 : 40,서울경부,서대구,42,45,(주)중앙고속,고속
19,19 : 00,서울경부,서대구,28,28,(주)동양고속,우등
20,19 : 20,서울경부,서대구,19,21,(주)중앙고속,프리미엄
21,19 : 40,서울경부,서대구,43,45,금호고속(주),고속
22,20 : 00,서울경부,서대구,26,28,(주)한일고속,우등
23,20 : 20,서울경부,서대구,28,28,(주)동양고속,우등
24,06 : 00,동서울,서대구,43,45,(주)동양고속,고속
25,08 : 40,동서울,서대구,27,28,(주)동양고속,우등
26,10 : 40,동서울,서대구,21,28,(주)동양고속,우등
27,12 : 00,동서울,서대구,35,45,(주)천일고속,고속
28,13 : 30,동서울,서대구,26,28,금호고속(주),우등
29,15 : 30,동서울,서대구,39,45,(주)한일고속,고속
30,16 : 00,동서울,서대구,27,28,(주)동양고속,우등
31,17 : 20,동서울,서대구,28,28,금호고속(주),우등
32,18 : 00,동서울,서대구,39,45,(주)동양고속,고속
33,22 : 00,동서울,서대구,26,28,(주)동양고속,심야우등
34,08 : 40,용인,서대구,20,28,코리아와이드경북,우등
35,13 : 40,용인,서대구,24,28,코리아와이드경북,우등
36,18 : 40,용인,서대구,26,28,코리아와이드경북,우등
37,08 : 00,성남(분당),서대구,26,28,(주)동양고속,우등
38,09 : 20,성남(분당),서대구,41,45,금호속리산고속(주),고속
39,10 : 40,성남(분당),서대구,25,28,금호속리산고속(주),우등
40,14 : 40,성남(분당),서대구,42,45,(주)동양고속,고속
41,15 : 50,성남(분당),서대구,26,28,(주)동양고속,우등
42,06 : 00,광주(유·스퀘어),서대구,17,28,(주)중앙고속,우등
43,06 : 40,광주(유·스퀘어),서대구,23,28,금호고속(주),우등
44,08 : 40,광주(유·스퀘어),서대구,20,28,금호고속(주),우등
45,09 : 20,광주(유·스퀘어),서대구,9,21,(주)중앙고속,프리미엄
46,10 : 05,광주(유·스퀘어),서대구,22,28,금호고속(주),우등
47,12 : 05,광주(유·스퀘어),서대구,10,21,금호고속(주),프리미엄
48,14 : 05,광주(유·스퀘어),서대구,25,28,금호고속(주),우등
49,14 : 40,광주(유·스퀘어),서대구,17,21,금호고속(주),프리미엄
50,15 : 20,광주(유·스퀘어),서대구,25,28,(주)중앙고속,우등
51,16 : 00,광주(유·스퀘어),서대구,26,28,금호고속(주),우등
52,18 : 05,광주(유·스퀘어),서대구,28,28,금호고속(주),우등
53,20 : 00,광주(유·스퀘어),서대구,26,28,금호고속(주),우등
54,22 : 40,광주(유·스퀘어),서대구,20,21,금호고속(주),심야프리미엄
55,08 : 50,대전복합,서대구,27,28,(주)한일고속,우등
56,11 : 30,대전복합,서대구,26,28,(주)동양고속,우등
57,14 : 50,대전복합,서대구,27,28,(주)한일고속,우등
58,17 : 20,대전복합,서대구,27,28,(주)동양고속,우등
59,06 : 20,인천,서대구,18,28,(주)동양고속,우등
60,10 : 20,인천,서대구,11,21,(주)삼화고속,프리미엄
61,11 : 30,인천,서대구,13,28,(주)동양고속,우등
62,15 : 20,인천,서대구,22,28,(주)동양고속,우등
63,16 : 20,인천,서대구,19,21,(주)동양고속,프리미엄
64,20 : 00,인천,서대구,26,28,(주)동양고속,우등
65,06 : 30,전주,서대구,25,28,(주)삼화고속,우등
66,08 : 40,전주,서대구,19,28,(주)동양고속,우등
67,10 : 50,전주,서대구,25,28,(주)동양고속,우등
68,13 : 00,전주,서대구,24,28,(주)동양고속,우등
69,15 : 20,전주,서대구,21,28,(주)삼화고속,우등
70,17 : 20,전주,서대구,25,28,(주)동양고속,우등
71,19 : 30,전주,서대구,15,28,(주)동양고속,우등
72,07 : 00,춘천,서대구,21,28,(주)대원고속,우등
73,10 : 00,춘천,서대구,23,28,(주)대원고속,우등
74,12 : 00,춘천,서대구,18,28,(주)중앙고속,우등
75,16 : 00,춘천,서대구,23,28,(주)한일고속,우등
76,17 : 30,춘천,서대구,24,28,(주)대원고속,우등
