,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 40,서울경부,서부산(사상),25,28,(주)삼화고속,우등
1,08 : 30,서울경부,서부산(사상),10,28,(주)중앙고속,고속
2,10 : 40,서울경부,서부산(사상),26,28,(주)한일고속,우등
3,14 : 40,서울경부,서부산(사상),24,28,금호고속(주),우등
4,16 : 30,서울경부,서부산(사상),16,28,(주)동양고속,고속
5,19 : 10,서울경부,서부산(사상),28,28,(주)천일고속,우등
6,11 : 30,동서울,서부산(사상),40,45,(주)한일고속,고속
7,15 : 00,동서울,서부산(사상),24,28,금호고속(주),우등
8,10 : 50,수원,서부산(사상),18,28,금호고속(주),우등
9,19 : 10,수원,서부산(사상),24,28,(주)동양고속,우등
10,05 : 30,광주(유·스퀘어),서부산(사상),7,21,금호고속(주),프리미엄
11,06 : 50,광주(유·스퀘어),서부산(사상),9,28,금호고속(주),우등
12,07 : 30,광주(유·스퀘어),서부산(사상),6,28,금호고속(주),우등
13,08 : 30,광주(유·스퀘어),서부산(사상),5,21,금호고속(주),프리미엄
14,08 : 41,광주(유·스퀘어),서부산(사상),18,21,금호고속(주),프리미엄
15,09 : 10,광주(유·스퀘어),서부산(사상),5,28,금호고속(주),우등
16,09 : 50,광주(유·스퀘어),서부산(사상),27,45,금호고속(주),고속
17,10 : 20,광주(유·스퀘어),서부산(사상),9,21,금호고속(주),프리미엄
18,11 : 10,광주(유·스퀘어),서부산(사상),2,28,금호고속(주),우등
19,11 : 40,광주(유·스퀘어),서부산(사상),14,28,금호고속(주),우등
20,12 : 20,광주(유·스퀘어),서부산(사상),21,28,금호고속(주),우등
21,13 : 00,광주(유·스퀘어),서부산(사상),11,21,금호고속(주),프리미엄
22,13 : 30,광주(유·스퀘어),서부산(사상),17,21,금호고속(주),프리미엄
23,14 : 00,광주(유·스퀘어),서부산(사상),9,28,금호고속(주),우등
24,15 : 00,광주(유·스퀘어),서부산(사상),43,45,금호고속(주),고속
25,15 : 40,광주(유·스퀘어),서부산(사상),24,28,금호고속(주),우등
26,16 : 20,광주(유·스퀘어),서부산(사상),20,21,금호고속(주),프리미엄
27,16 : 50,광주(유·스퀘어),서부산(사상),23,28,금호고속(주),우등
28,17 : 30,광주(유·스퀘어),서부산(사상),17,21,금호고속(주),프리미엄
29,19 : 00,광주(유·스퀘어),서부산(사상),23,28,금호고속(주),우등
30,20 : 00,광주(유·스퀘어),서부산(사상),23,28,금호고속(주),우등
31,22 : 00,광주(유·스퀘어),서부산(사상),28,28,금호고속(주),심야우등
32,09 : 10,인천,서부산(사상),18,28,(주)삼화고속,우등
33,18 : 20,인천,서부산(사상),27,28,(주)천일고속,우등
