,time,departure,arrival,remain_seat,total_seat,company,grade
0,20 : 40,용인,서울경부,41,45,(주)동부고속,고속
1,21 : 10,용인,서울경부,43,45,(주)동부고속,고속
2,22 : 00,용인,서울경부,42,45,(주)동부고속,심야고속
3,20 : 35,평택,서울경부,40,45,금호고속(주),고속
4,20 : 55,평택,서울경부,43,45,(주)동양고속,고속
5,21 : 10,평택,서울경부,44,45,(주)동양고속,고속
6,21 : 30,평택,서울경부,44,45,금호고속(주),고속
7,21 : 50,평택,서울경부,45,45,금호고속(주),고속
8,22 : 40,평택,서울경부,45,45,금호고속(주),심야고속
9,20 : 30,부산,서울경부,13,21,금호고속(주),프리미엄
10,21 : 00,부산,서울경부,26,28,(주)동양고속,우등
11,21 : 30,부산,서울경부,20,21,(주)동양고속,프리미엄
12,22 : 00,부산,서울경부,28,28,(주)중앙고속,심야우등
13,22 : 30,부산,서울경부,28,28,(주)동양고속,심야우등
14,23 : 00,부산,서울경부,18,21,(주)삼화고속,심야프리미엄
15,23 : 30,부산,서울경부,28,28,금호고속(주),심야우등
16,24 : 00,부산,서울경부,18,21,(주)천일고속,심야프리미엄
17,20 : 40,동대구,서울경부,23,45,(주)천일고속,고속
18,21 : 30,동대구,서울경부,27,28,(주)동양고속,우등
19,22 : 30,동대구,서울경부,19,21,(주)삼화고속,심야프리미엄
20,24 : 00,동대구,서울경부,19,21,(주)동양고속,심야프리미엄
21,20 : 40,서대구,서울경부,23,45,(주)천일고속,고속
22,21 : 30,서대구,서울경부,27,28,(주)동양고속,우등
23,22 : 30,서대구,서울경부,19,21,(주)삼화고속,심야프리미엄
24,24 : 00,서대구,서울경부,19,21,(주)동양고속,심야프리미엄
25,22 : 30,대전복합,서울경부,18,21,(주)한일고속,심야프리미엄
26,23 : 30,대전복합,서울경부,28,28,(주)동양고속,심야우등
27,24 : 00,대전복합,서울경부,27,28,(주)동양고속,심야우등
28,20 : 40,천안,서울경부,29,45,(주)동양고속,고속
29,20 : 50,천안,서울경부,42,45,(주)동양고속,고속
30,21 : 00,천안,서울경부,26,28,(주)동양고속,우등
31,21 : 10,천안,서울경부,45,45,(주)동양고속,고속
32,21 : 20,천안,서울경부,45,45,(주)동양고속,고속
33,21 : 30,천안,서울경부,22,28,(주)동양고속,우등
34,21 : 40,천안,서울경부,44,45,(주)동양고속,고속
35,21 : 50,천안,서울경부,41,45,(주)동양고속,고속
36,22 : 00,천안,서울경부,45,45,(주)동양고속,심야고속
37,22 : 10,천안,서울경부,44,45,(주)동양고속,심야고속
38,22 : 20,천안,서울경부,26,28,(주)동양고속,심야우등
39,22 : 40,천안,서울경부,42,45,(주)동양고속,심야고속
40,21 : 00,원주,서울경부,8,28,(주)중앙고속,우등
41,21 : 30,원주,서울경부,15,21,(주)중앙고속,프리미엄
42,21 : 40,원주,서울경부,16,28,(주)동부고속,우등
43,22 : 00,원주,서울경부,34,45,(주)동부고속,심야고속
44,22 : 30,원주,서울경부,15,21,(주)동부고속,심야프리미엄
