,time,departure,arrival,remain_seat,total_seat,company,grade
0,11 : 40,부산,인천,22,28,(주)천일고속,우등
1,14 : 20,부산,인천,22,28,(주)동양고속,우등
2,15 : 30,부산,인천,9,21,(주)삼화고속,프리미엄
3,19 : 00,부산,인천,22,28,(주)천일고속,우등
4,23 : 10,부산,인천,20,28,(주)삼화고속,심야우등
5,11 : 30,서부산(사상),인천,26,28,(주)천일고속,우등
6,17 : 00,서부산(사상),인천,23,28,(주)삼화고속,우등
7,09 : 00,동대구,인천,22,28,(주)동양고속,우등
8,10 : 20,동대구,인천,9,21,(주)동양고속,프리미엄
9,14 : 00,동대구,인천,15,28,(주)동양고속,우등
10,15 : 00,동대구,인천,20,28,(주)동양고속,우등
11,17 : 20,동대구,인천,15,21,(주)삼화고속,프리미엄
12,18 : 30,동대구,인천,19,28,(주)동양고속,우등
13,09 : 00,서대구,인천,22,28,(주)동양고속,우등
14,10 : 20,서대구,인천,9,21,(주)동양고속,프리미엄
15,14 : 00,서대구,인천,15,28,(주)동양고속,우등
16,15 : 00,서대구,인천,20,28,(주)동양고속,우등
17,17 : 20,서대구,인천,15,21,(주)삼화고속,프리미엄
18,18 : 30,서대구,인천,19,28,(주)동양고속,우등
19,06 : 05,광주(유·스퀘어),인천,21,28,(주)한일고속,우등
20,06 : 45,광주(유·스퀘어),인천,27,28,(주)한일고속,우등
21,07 : 25,광주(유·스퀘어),인천,38,45,(주)삼화고속,고속
22,08 : 05,광주(유·스퀘어),인천,5,21,금호고속(주),프리미엄
23,10 : 05,광주(유·스퀘어),인천,10,21,(주)삼화고속,프리미엄
24,10 : 45,광주(유·스퀘어),인천,20,28,(주)삼화고속,우등
25,11 : 25,광주(유·스퀘어),인천,15,21,(주)한일고속,프리미엄
26,12 : 05,광주(유·스퀘어),인천,22,28,(주)한일고속,우등
27,13 : 45,광주(유·스퀘어),인천,18,21,금호고속(주),프리미엄
28,14 : 25,광주(유·스퀘어),인천,26,28,(주)삼화고속,우등
29,15 : 05,광주(유·스퀘어),인천,27,28,(주)한일고속,우등
30,15 : 45,광주(유·스퀘어),인천,19,21,(주)삼화고속,프리미엄
31,16 : 25,광주(유·스퀘어),인천,25,28,금호고속(주),우등
32,17 : 05,광주(유·스퀘어),인천,18,21,(주)한일고속,프리미엄
33,18 : 15,광주(유·스퀘어),인천,24,28,(주)한일고속,우등
34,19 : 10,광주(유·스퀘어),인천,45,45,(주)삼화고속,고속
35,19 : 45,광주(유·스퀘어),인천,17,21,금호고속(주),프리미엄
36,21 : 05,광주(유·스퀘어),인천,27,28,금호고속(주),우등
37,23 : 00,광주(유·스퀘어),인천,19,21,(주)삼화고속,심야프리미엄
38,06 : 00,대전복합,인천,21,28,(주)삼화고속,우등
39,06 : 50,대전복합,인천,42,45,(주)삼화고속,고속
40,07 : 40,대전복합,인천,27,28,(주)삼화고속,우등
41,08 : 30,대전복합,인천,24,28,(주)삼화고속,우등
42,09 : 20,대전복합,인천,23,28,(주)삼화고속,우등
43,10 : 10,대전복합,인천,21,28,(주)삼화고속,우등
44,11 : 00,대전복합,인천,43,45,(주)삼화고속,고속
45,11 : 50,대전복합,인천,19,21,(주)삼화고속,프리미엄
46,12 : 40,대전복합,인천,27,28,(주)삼화고속,우등
47,13 : 30,대전복합,인천,20,21,(주)삼화고속,프리미엄
