,time,departure,arrival,remain_seat,total_seat,company,grade
0,01 : 00,서울경부,창원,15,21,(주)중앙고속,심야프리미엄
1,06 : 45,서울경부,창원,27,28,(주)중앙고속,우등
2,07 : 10,서울경부,창원,16,21,(주)동양고속,프리미엄
3,07 : 40,서울경부,창원,27,28,(주)동양고속,우등
4,08 : 10,서울경부,창원,41,45,(주)동양고속,고속
5,09 : 10,서울경부,창원,18,21,(주)중앙고속,프리미엄
6,10 : 40,서울경부,창원,12,21,(주)동양고속,프리미엄
7,11 : 10,서울경부,창원,28,28,(주)중앙고속,우등
8,11 : 40,서울경부,창원,19,21,(주)중앙고속,프리미엄
9,12 : 40,서울경부,창원,14,21,(주)동양고속,프리미엄
10,13 : 30,서울경부,창원,16,21,(주)중앙고속,프리미엄
11,14 : 00,서울경부,창원,23,28,(주)동양고속,우등
12,14 : 30,서울경부,창원,40,45,(주)동양고속,고속
13,15 : 00,서울경부,창원,25,28,(주)중앙고속,우등
14,15 : 30,서울경부,창원,9,21,(주)동양고속,프리미엄
15,17 : 00,서울경부,창원,14,21,(주)중앙고속,프리미엄
16,18 : 00,서울경부,창원,13,21,(주)동양고속,프리미엄
17,19 : 00,서울경부,창원,18,21,(주)중앙고속,프리미엄
18,19 : 30,서울경부,창원,28,28,(주)동양고속,우등
19,20 : 00,서울경부,창원,20,21,(주)동양고속,프리미엄
20,24 : 00,서울경부,창원,26,28,(주)동양고속,심야우등
21,09 : 00,동서울,창원,37,45,(주)동양고속,고속
22,16 : 00,동서울,창원,39,45,(주)중앙고속,고속
23,17 : 30,동서울,창원,19,28,(주)동양고속,우등
24,10 : 10,용인,창원,21,28,(주)중앙고속,우등
25,16 : 10,용인,창원,24,28,(주)동양고속,우등
26,09 : 00,성남(분당),창원,13,28,(주)중앙고속,우등
27,13 : 00,성남(분당),창원,20,28,(주)동양고속,우등
28,16 : 30,성남(분당),창원,42,45,(주)동양고속,고속
29,20 : 00,성남(분당),창원,28,28,(주)동양고속,우등
30,08 : 05,광주(유·스퀘어),창원,30,40,금호고속(주),고속
31,09 : 20,광주(유·스퀘어),창원,27,28,금호고속(주),우등
32,10 : 20,광주(유·스퀘어),창원,33,40,금호고속(주),고속
33,13 : 25,광주(유·스퀘어),창원,24,28,금호고속(주),우등
34,14 : 25,광주(유·스퀘어),창원,33,40,금호고속(주),고속
35,18 : 15,광주(유·스퀘어),창원,23,28,금호고속(주),우등
36,20 : 05,광주(유·스퀘어),창원,38,40,금호고속(주),고속
37,22 : 05,광주(유·스퀘어),창원,26,28,금호고속(주),심야우등
