,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 20,서울경부,통영,24,28,천일여객(주),우등
1,07 : 10,서울경부,통영,22,28,고려여객자동차(주),우등
2,07 : 50,서울경부,통영,8,28,천일여객(주),우등
3,08 : 40,서울경부,통영,0,21,고려여객자동차(주),프리미엄
4,09 : 40,서울경부,통영,22,28,고려여객자동차(주),우등
5,10 : 50,서울경부,통영,25,28,고려여객자동차(주),우등
6,12 : 50,서울경부,통영,18,28,고려여객자동차(주),우등
7,14 : 50,서울경부,통영,6,21,천일여객(주),프리미엄
8,15 : 50,서울경부,통영,26,28,천일여객(주),우등
9,16 : 40,서울경부,통영,27,28,고려여객자동차(주),우등
10,18 : 50,서울경부,통영,27,28,고려여객자동차(주),우등
11,19 : 40,서울경부,통영,26,28,고려여객자동차(주),우등
12,23 : 00,서울경부,통영,20,21,천일여객(주),심야프리미엄
13,08 : 00,부천,통영,19,28,(주)대원고속,우등
14,16 : 30,부천,통영,28,28,(주)대원고속,고속
15,08 : 00,광주(유·스퀘어),통영,35,45,(주)경남고속,고속
16,13 : 30,광주(유·스퀘어),통영,36,40,금호고속(주),고속
17,15 : 00,광주(유·스퀘어),통영,45,45,(주)경남고속,고속
18,16 : 30,광주(유·스퀘어),통영,41,45,(주)경남고속,고속
