,time,departure,arrival,remain_seat,total_seat,company,grade
0,01 : 00,서울경부,포항,23,28,(주)동양고속,심야우등
1,06 : 00,서울경부,포항,28,28,(주)동양고속,우등
2,06 : 40,서울경부,포항,13,21,(주)동양고속,프리미엄
3,07 : 20,서울경부,포항,17,28,(주)천일고속,우등
4,08 : 00,서울경부,포항,36,45,(주)한일고속,고속
5,08 : 40,서울경부,포항,15,21,(주)동양고속,프리미엄
6,09 : 20,서울경부,포항,25,28,(주)동양고속,우등
7,10 : 05,서울경부,포항,25,28,(주)한일고속,우등
8,10 : 40,서울경부,포항,14,21,(주)한일고속,프리미엄
9,11 : 20,서울경부,포항,26,28,(주)동양고속,우등
10,12 : 30,서울경부,포항,15,21,(주)천일고속,프리미엄
11,13 : 10,서울경부,포항,35,45,(주)동양고속,고속
12,13 : 30,서울경부,포항,25,28,(주)동양고속,우등
13,14 : 00,서울경부,포항,23,28,(주)한일고속,우등
14,14 : 30,서울경부,포항,9,21,(주)천일고속,프리미엄
15,15 : 00,서울경부,포항,27,28,(주)동양고속,우등
16,15 : 30,서울경부,포항,28,28,(주)천일고속,우등
17,16 : 00,서울경부,포항,9,21,(주)동양고속,프리미엄
18,16 : 30,서울경부,포항,28,28,(주)동양고속,우등
19,17 : 00,서울경부,포항,25,28,(주)한일고속,우등
20,17 : 30,서울경부,포항,27,28,(주)동양고속,우등
21,18 : 00,서울경부,포항,16,21,(주)한일고속,프리미엄
22,18 : 40,서울경부,포항,43,45,(주)천일고속,고속
23,19 : 20,서울경부,포항,23,28,(주)천일고속,우등
24,20 : 00,서울경부,포항,15,21,(주)천일고속,프리미엄
25,20 : 40,서울경부,포항,26,28,(주)동양고속,우등
26,21 : 20,서울경부,포항,26,28,(주)한일고속,우등
27,22 : 10,서울경부,포항,21,21,(주)동양고속,심야프리미엄
28,23 : 00,서울경부,포항,28,28,(주)동양고속,심야우등
29,24 : 00,서울경부,포항,20,21,(주)한일고속,심야프리미엄
30,11 : 05,광주(유·스퀘어),포항,20,28,(주)한일고속,우등
31,14 : 00,광주(유·스퀘어),포항,21,28,(주)동양고속,우등
32,17 : 05,광주(유·스퀘어),포항,19,28,(주)동양고속,우등
33,09 : 20,대전복합,포항,28,28,(주)동양고속,우등
34,12 : 20,대전복합,포항,24,28,(주)동양고속,우등
35,19 : 30,대전복합,포항,28,28,(주)동양고속,우등
