,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 20,서울경부,횡성(휴)하행,27,28,(주)동부고속,우등
1,06 : 30,서울경부,횡성(휴)하행,25,28,(주)동부고속,우등
2,07 : 00,서울경부,횡성(휴)하행,22,28,(주)중앙고속,우등
3,07 : 30,서울경부,횡성(휴)하행,20,45,(주)중앙고속,고속
4,08 : 20,서울경부,횡성(휴)하행,4,28,(주)동부고속,우등
5,08 : 40,서울경부,횡성(휴)하행,4,28,(주)동부고속,우등
6,09 : 00,서울경부,횡성(휴)하행,2,45,(주)동부고속,고속
7,09 : 30,서울경부,횡성(휴)하행,0,28,(주)동부고속,우등
8,09 : 40,서울경부,횡성(휴)하행,33,45,(주)동부고속,고속
9,10 : 00,서울경부,횡성(휴)하행,1,28,(주)중앙고속,우등
10,11 : 20,서울경부,횡성(휴)하행,8,28,(주)중앙고속,우등
11,11 : 20,서울경부,횡성(휴)하행,21,28,(주)동부고속,우등
12,12 : 00,서울경부,횡성(휴)하행,23,28,(주)동부고속,우등
13,12 : 30,서울경부,횡성(휴)하행,36,45,(주)중앙고속,고속
14,13 : 00,서울경부,횡성(휴)하행,25,28,(주)중앙고속,우등
15,14 : 30,서울경부,횡성(휴)하행,37,45,(주)동부고속,고속
16,14 : 40,서울경부,횡성(휴)하행,25,28,(주)동부고속,우등
17,15 : 30,서울경부,횡성(휴)하행,25,28,(주)동부고속,우등
18,15 : 30,서울경부,횡성(휴)하행,44,45,(주)동부고속,고속
19,17 : 10,서울경부,횡성(휴)하행,24,28,(주)동부고속,우등
20,17 : 30,서울경부,횡성(휴)하행,27,28,(주)중앙고속,우등
21,18 : 00,서울경부,횡성(휴)하행,28,28,(주)동부고속,우등
22,18 : 00,서울경부,횡성(휴)하행,25,28,(주)동부고속,우등
23,18 : 30,서울경부,횡성(휴)하행,43,45,(주)중앙고속,고속
24,19 : 00,서울경부,횡성(휴)하행,28,28,(주)중앙고속,우등
25,20 : 00,서울경부,횡성(휴)하행,43,45,(주)동부고속,고속
26,06 : 20,동서울,횡성(휴)하행,17,28,(주)동부고속,우등
27,06 : 45,동서울,횡성(휴)하행,25,28,(주)동부고속,우등
28,07 : 10,동서울,횡성(휴)하행,7,28,(주)중앙고속,우등
29,08 : 00,동서울,횡성(휴)하행,9,28,(주)동부고속,우등
30,08 : 40,동서울,횡성(휴)하행,2,28,(주)중앙고속,우등
31,09 : 20,동서울,횡성(휴)하행,3,28,(주)동부고속,우등
32,09 : 40,동서울,횡성(휴)하행,20,28,(주)동부고속,고속
33,10 : 00,동서울,횡성(휴)하행,4,28,(주)동부고속,우등
34,10 : 40,동서울,횡성(휴)하행,3,28,(주)중앙고속,우등
35,11 : 20,동서울,횡성(휴)하행,0,28,(주)동부고속,우등
36,11 : 50,동서울,횡성(휴)하행,21,28,(주)동부고속,고속
37,12 : 00,동서울,횡성(휴)하행,7,28,(주)중앙고속,우등
38,13 : 00,동서울,횡성(휴)하행,28,28,(주)동부고속,우등
39,13 : 10,동서울,횡성(휴)하행,25,28,(주)동부고속,우등
40,14 : 00,동서울,횡성(휴)하행,17,28,(주)중앙고속,우등
41,14 : 40,동서울,횡성(휴)하행,18,28,(주)동부고속,고속
42,14 : 50,동서울,횡성(휴)하행,21,28,(주)중앙고속,우등
43,16 : 30,동서울,횡성(휴)하행,27,28,(주)중앙고속,우등
44,17 : 00,동서울,횡성(휴)하행,28,28,(주)동부고속,고속
45,17 : 20,동서울,횡성(휴)하행,24,28,(주)동부고속,우등
46,18 : 00,동서울,횡성(휴)하행,28,28,(주)동부고속,우등
47,18 : 10,동서울,횡성(휴)하행,22,28,(주)중앙고속,우등
48,19 : 00,동서울,횡성(휴)하행,26,28,(주)동부고속,우등
49,19 : 50,동서울,횡성(휴)하행,25,28,(주)중앙고속,우등
50,07 : 20,수원,횡성(휴)하행,24,28,(주)동양고속,우등
51,10 : 00,수원,횡성(휴)하행,17,28,(주)동부고속,우등
52,13 : 10,수원,횡성(휴)하행,22,28,(주)동양고속,우등
53,16 : 00,수원,횡성(휴)하행,24,28,(주)동부고속,우등
54,19 : 10,수원,횡성(휴)하행,22,28,(주)동양고속,우등
55,06 : 25,고양백석,횡성(휴)하행,0,28,(주)동부고속,우등
56,11 : 45,고양백석,횡성(휴)하행,13,45,(주)중앙고속,고속
57,17 : 15,고양백석,횡성(휴)하행,18,28,(주)동부고속,우등
58,06 : 40,대전복합,횡성(휴)하행,20,28,(주)대원고속,우등
59,08 : 40,대전복합,횡성(휴)하행,38,41,(주)대원고속,고속
60,10 : 00,대전복합,횡성(휴)하행,2,28,(주)대원고속,우등
61,11 : 40,대전복합,횡성(휴)하행,21,28,(주)대원고속,우등
62,13 : 20,대전복합,횡성(휴)하행,39,41,(주)대원고속,고속
63,15 : 00,대전복합,횡성(휴)하행,26,28,(주)대원고속,우등
64,16 : 40,대전복합,횡성(휴)하행,27,28,(주)대원고속,우등
65,18 : 00,대전복합,횡성(휴)하행,41,41,(주)대원고속,고속
66,19 : 40,대전복합,횡성(휴)하행,26,28,(주)대원고속,우등
