date,car,bus,station_code,station_name,city
2020-07-01,2574,94,013,순천만,순천
2020-07-02,2746,108,013,순천만,순천
2020-07-03,2765,85,013,순천만,순천
2020-07-04,2907,51,013,순천만,순천
2020-07-05,2607,23,013,순천만,순천
2020-07-06,2370,84,013,순천만,순천
2020-07-07,2426,98,013,순천만,순천
2020-07-08,2551,93,013,순천만,순천
2020-07-09,2520,98,013,순천만,순천
2020-07-10,2473,66,013,순천만,순천
2020-07-11,2683,45,013,순천만,순천
2020-07-12,2237,19,013,순천만,순천
2020-07-13,1872,56,013,순천만,순천
2020-07-14,2423,79,013,순천만,순천
2020-07-15,2335,83,013,순천만,순천
2020-07-16,2607,97,013,순천만,순천
2020-07-17,2726,108,013,순천만,순천
2020-07-18,2877,51,013,순천만,순천
2020-07-19,2090,13,013,순천만,순천
2020-07-20,2221,76,013,순천만,순천
2020-07-21,2492,81,013,순천만,순천
2020-07-22,2155,67,013,순천만,순천
2020-07-23,2038,69,013,순천만,순천
2020-07-24,2459,76,013,순천만,순천
2020-07-25,2548,37,013,순천만,순천
2020-07-26,2896,12,013,순천만,순천
2020-07-27,2404,63,013,순천만,순천
2020-07-28,2455,66,013,순천만,순천
2020-07-29,2422,84,013,순천만,순천
2020-07-30,2490,69,013,순천만,순천
2020-07-31,2970,87,013,순천만,순천
2020-07-01,87163,2886,101,서울,서울
2020-07-02,87818,2864,101,서울,서울
2020-07-03,91983,2656,101,서울,서울
2020-07-04,93512,1610,101,서울,서울
2020-07-05,88327,916,101,서울,서울
2020-07-06,90494,2602,101,서울,서울
2020-07-07,86932,2779,101,서울,서울
2020-07-08,86847,2732,101,서울,서울
2020-07-09,87673,2754,101,서울,서울
2020-07-10,91139,2627,101,서울,서울
2020-07-11,93792,1564,101,서울,서울
2020-07-12,83988,807,101,서울,서울
2020-07-13,80037,2354,101,서울,서울
2020-07-14,85517,2701,101,서울,서울
2020-07-15,88955,2736,101,서울,서울
2020-07-16,85961,2749,101,서울,서울
2020-07-17,93313,2776,101,서울,서울
2020-07-18,93643,1646,101,서울,서울
2020-07-19,79012,862,101,서울,서울
2020-07-20,86756,2373,101,서울,서울
2020-07-21,84180,2692,101,서울,서울
2020-07-22,80099,2516,101,서울,서울
2020-07-23,79005,2479,101,서울,서울
2020-07-24,87056,2570,101,서울,서울
2020-07-25,92865,1599,101,서울,서울
2020-07-26,87642,850,101,서울,서울
2020-07-27,87878,2504,101,서울,서울
2020-07-28,84448,2753,101,서울,서울
2020-07-29,81273,2587,101,서울,서울
2020-07-30,88618,2648,101,서울,서울
2020-07-31,94301,2477,101,서울,서울
2020-07-01,31890,1451,127,서대구,대구
2020-07-02,31501,1412,127,서대구,대구
2020-07-03,32688,1376,127,서대구,대구
2020-07-04,33909,741,127,서대구,대구
2020-07-05,32974,285,127,서대구,대구
2020-07-06,32058,1288,127,서대구,대구
2020-07-07,31680,1473,127,서대구,대구
2020-07-08,30977,1334,127,서대구,대구
2020-07-09,32054,1424,127,서대구,대구
2020-07-10,31643,1183,127,서대구,대구
2020-07-11,34618,684,127,서대구,대구
2020-07-12,31482,269,127,서대구,대구
2020-07-13,27906,1133,127,서대구,대구
2020-07-14,28958,1293,127,서대구,대구
2020-07-15,31128,1400,127,서대구,대구
2020-07-16,32333,1403,127,서대구,대구
2020-07-17,33252,1375,127,서대구,대구
2020-07-18,35765,748,127,서대구,대구
2020-07-19,30820,250,127,서대구,대구
2020-07-20,31730,1304,127,서대구,대구
2020-07-21,32233,1452,127,서대구,대구
2020-07-22,28819,1294,127,서대구,대구
2020-07-23,28667,1230,127,서대구,대구
2020-07-24,30520,1197,127,서대구,대구
2020-07-25,32852,620,127,서대구,대구
2020-07-26,32270,279,127,서대구,대구
2020-07-27,31901,1299,127,서대구,대구
2020-07-28,30226,1305,127,서대구,대구
2020-07-29,29350,1241,127,서대구,대구
2020-07-30,29674,1255,127,서대구,대구
2020-07-31,33804,1192,127,서대구,대구
2020-07-01,31440,989,129,북대구,대구
2020-07-02,31564,1043,129,북대구,대구
2020-07-03,34212,1035,129,북대구,대구
2020-07-04,35541,582,129,북대구,대구
2020-07-05,28323,208,129,북대구,대구
2020-07-06,32360,968,129,북대구,대구
2020-07-07,30424,992,129,북대구,대구
2020-07-08,29569,929,129,북대구,대구
2020-07-09,31863,1063,129,북대구,대구
2020-07-10,31466,859,129,북대구,대구
2020-07-11,35424,512,129,북대구,대구
2020-07-12,27180,223,129,북대구,대구
2020-07-13,27574,823,129,북대구,대구
2020-07-14,30510,956,129,북대구,대구
2020-07-15,31614,996,129,북대구,대구
2020-07-16,33025,988,129,북대구,대구
2020-07-17,36373,1021,129,북대구,대구
2020-07-18,35888,548,129,북대구,대구
2020-07-19,26740,209,129,북대구,대구
2020-07-20,31218,904,129,북대구,대구
2020-07-21,32384,987,129,북대구,대구
2020-07-22,28916,873,129,북대구,대구
2020-07-23,28244,873,129,북대구,대구
2020-07-24,32272,901,129,북대구,대구
2020-07-25,30729,457,129,북대구,대구
2020-07-26,27831,193,129,북대구,대구
2020-07-27,32062,951,129,북대구,대구
2020-07-28,29132,871,129,북대구,대구
2020-07-29,30504,896,129,북대구,대구
2020-07-30,29408,894,129,북대구,대구
2020-07-31,35814,923,129,북대구,대구
2020-07-01,2165,128,133,건천,경주
2020-07-02,2335,132,133,건천,경주
2020-07-03,2818,136,133,건천,경주
2020-07-04,3520,58,133,건천,경주
2020-07-05,4070,24,133,건천,경주
2020-07-06,2252,115,133,건천,경주
2020-07-07,2138,119,133,건천,경주
2020-07-08,1943,92,133,건천,경주
2020-07-09,2367,114,133,건천,경주
2020-07-10,2442,87,133,건천,경주
2020-07-11,3434,60,133,건천,경주
2020-07-12,3979,20,133,건천,경주
2020-07-13,1733,110,133,건천,경주
2020-07-14,2067,117,133,건천,경주
2020-07-15,2183,107,133,건천,경주
2020-07-16,2376,114,133,건천,경주
2020-07-17,2924,113,133,건천,경주
2020-07-18,3730,63,133,건천,경주
2020-07-19,3698,18,133,건천,경주
2020-07-20,2192,114,133,건천,경주
2020-07-21,2316,135,133,건천,경주
2020-07-22,1913,109,133,건천,경주
2020-07-23,2070,101,133,건천,경주
2020-07-24,2472,99,133,건천,경주
2020-07-25,2793,47,133,건천,경주
2020-07-26,3935,25,133,건천,경주
2020-07-27,2207,103,133,건천,경주
2020-07-28,2101,109,133,건천,경주
2020-07-29,2080,95,133,건천,경주
2020-07-30,2149,120,133,건천,경주
2020-07-31,3476,106,133,건천,경주
2020-07-01,9335,423,135,경주,경주
2020-07-02,10050,394,135,경주,경주
2020-07-03,12785,400,135,경주,경주
